entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,entry_rsi_min,entry_macd_min,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.64,0.59,0.15,15,5400,0.005,,,,8,False,,0.0,861,300,-18.581525513411325,-0.743261020536453,-6.936143692899049,18.71040842742266,0.3859728516046581,-0.0137391078219601,-0.021581330445309292,0.34352759056842425,118,0,7474,"{""prob_floor"": 329, ""gate_close"": 451, ""time_limit"": 24, ""stop_loss"": 47, ""prob_trailing"": 10}",0.3679182949160862
0.64,0.59,0.15,15,5400,0.008,,,,8,False,,0.0,855,299,-17.659639360136772,-0.7063855744054709,-6.59504131231048,17.788522274148107,0.39819550520998054,-0.013592195870071828,-0.02065454895922427,0.352362613505503,115,0,7221,"{""prob_floor"": 339, ""gate_close"": 459, ""time_limit"": 26, ""stop_loss"": 21, ""prob_trailing"": 10}",0.3679182949160862
0.64,0.62,0.15,15,5400,0.005,,,,8,False,,0.0,878,301,-19.21595636358593,-0.7686382545434373,-7.134824682916911,19.286900611254133,0.3774335389282399,-0.013781170131253104,-0.021886055083810838,0.3403182873647845,125,0,7525,"{""prob_floor"": 375, ""gate_close"": 433, ""stop_loss"": 47, ""time_limit"": 23}",0.3679182949160862
0.64,0.62,0.15,15,5400,0.008,,,,8,False,,0.0,873,300,-18.32961886711863,-0.7331847546847452,-6.829385721149548,18.400563114786827,0.3880093516468405,-0.01365399922398672,-0.02099612699555397,0.3494364841139491,123,0,7256,"{""prob_floor"": 387, ""gate_close"": 441, ""stop_loss"": 20, ""time_limit"": 25}",0.3679182949160862
0.7,0.6499999999999999,0.15,15,5400,0.005,,,,8,False,,0.0,803,273,-17.723203458995616,-0.7089281383598247,-6.769095523263509,17.81549615385774,0.37110563867938745,-0.013714112007014124,-0.022071237184303358,0.3146249834815276,122,0,7079,"{""prob_floor"": 325, ""gate_close"": 413, ""stop_loss"": 43, ""time_limit"": 22}",0.3383927054426007
0.7,0.6499999999999999,0.15,15,5400,0.008,,,,8,False,,0.0,800,274,-17.644193944244527,-0.7057677577697811,-6.591692039963505,17.73648663910665,0.37099041715614967,-0.013466490734633116,-0.022055242430305627,0.3228936587944347,122,0,6833,"{""prob_floor"": 337, ""gate_close"": 419, ""stop_loss"": 20, ""time_limit"": 24}",0.3383927054426007
0.7,0.6799999999999999,0.15,15,5400,0.005,,,,8,False,,0.0,804,275,-17.088396043059774,-0.6835358417223909,-6.5857325408561245,17.199019092070824,0.38258678497332693,-0.013684055615500422,-0.021254223934153937,0.3136055577580185,125,0,7106,"{""prob_floor"": 334, ""gate_close"": 407, ""stop_loss"": 41, ""time_limit"": 22}",0.3383927054426007
0.7,0.6799999999999999,0.15,15,5400,0.008,,,,8,False,,0.0,802,276,-17.40280501875641,-0.6961122007502564,-6.49613741779356,17.51342806776746,0.3779792884096819,-0.013466490734633116,-0.0216992581281252,0.3216476940212569,126,0,6861,"{""prob_floor"": 345, ""gate_close"": 413, ""stop_loss"": 20, ""time_limit"": 24}",0.3383927054426007
0.75,0.7,0.15,15,5400,0.005,,,,8,False,,0.0,465,145,-10.687037127531504,-0.42748148510126016,-6.886940203642326,10.756148587708148,0.3398171975844185,-0.015181065953333992,-0.02298287554307852,0.2026391799286402,64,0,4706,"{""gate_close"": 256, ""prob_floor"": 169, ""stop_loss"": 28, ""time_limit"": 12}",0.19888240735496782
0.75,0.7,0.15,15,5400,0.008,,,,8,False,,0.0,463,145,-11.222067336860546,-0.44888269347442183,-6.587931302495723,11.29117879703719,0.3289452145585129,-0.015005717286396271,-0.024237726429504433,0.20869909950727758,64,0,4513,"{""gate_close"": 260, ""prob_floor"": 174, ""stop_loss"": 16, ""time_limit"": 13}",0.19888240735496782
0.75,0.73,0.15,15,5400,0.005,,,,8,False,,0.0,499,156,-11.267379622004858,-0.45069518488019433,-7.488999698861577,11.307489547368169,0.31938763724911146,-0.015274627076632064,-0.022579919082174077,0.19101017537898096,73,0,4777,"{""prob_floor"": 248, ""gate_close"": 212, ""stop_loss"": 27, ""time_limit"": 12}",0.19888240735496782
0.75,0.73,0.15,15,5400,0.008,,,,8,False,,0.0,496,156,-11.534077484592625,-0.461363099383705,-7.092708071859381,11.574187409955936,0.3113425127874815,-0.015100075447773415,-0.023254188477001274,0.1967680428913934,72,0,4595,"{""prob_floor"": 253, ""gate_close"": 215, ""stop_loss"": 15, ""time_limit"": 13}",0.19888240735496782
