entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,entry_rsi_min,entry_macd_min,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.64,0.64,0.15,1,5400,0.005,,,,8,True,,0.0,396,160,-13.06900284042416,-0.5227601136169664,-3.742561901009028,13.584959180921118,0.5417025241638292,-0.01924074637966043,-0.03300253242531351,0.5567952275773537,89,0,4771,"{""time_limit"": 305, ""stop_loss"": 91}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,,0.0015,8,True,,0.0,396,160,-13.06900284042416,-0.5227601136169664,-3.742561901009028,13.584959180921118,0.5417025241638292,-0.01924074637966043,-0.03300253242531351,0.5567952275773537,89,0,4771,"{""time_limit"": 305, ""stop_loss"": 91}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,,0.0025,8,True,,0.0,396,160,-13.06900284042416,-0.5227601136169664,-3.742561901009028,13.584959180921118,0.5417025241638292,-0.01924074637966043,-0.03300253242531351,0.5567952275773537,89,0,4771,"{""time_limit"": 305, ""stop_loss"": 91}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.003,,8,True,,0.0,396,160,-13.06900284042416,-0.5227601136169664,-3.742561901009028,13.584959180921118,0.5417025241638292,-0.01924074637966043,-0.03300253242531351,0.5567952275773537,89,0,4771,"{""time_limit"": 305, ""stop_loss"": 91}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.003,0.0015,8,True,,0.0,466,225,-14.416325735320726,-0.576653029412829,-4.804494422725313,14.884002551624874,0.4903727947462645,-0.0035166944488624254,-0.03093632132043074,0.5281757943025429,118,0,4702,"{""time_limit"": 209, ""profit_trailing"": 162, ""stop_loss"": 95}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.003,0.0025,8,True,,0.0,433,187,-13.558497309733019,-0.5423398923893208,-4.212137289396013,14.04171614444913,0.5032843542370263,-0.00974206995150555,-0.03131292681231643,0.5254762039606578,103,0,5115,"{""time_limit"": 227, ""profit_trailing"": 120, ""stop_loss"": 86}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.005,,8,True,,0.0,396,160,-13.06900284042416,-0.5227601136169664,-3.742561901009028,13.584959180921118,0.5417025241638292,-0.01924074637966043,-0.03300253242531351,0.5567952275773537,89,0,4771,"{""time_limit"": 305, ""stop_loss"": 91}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.005,0.0015,8,True,,0.0,418,181,-12.330786603183098,-0.49323146412732394,-3.7123503881774527,12.915417308868404,0.5658305708327046,-0.013700116059638272,-0.02949948948129927,0.5424666326858092,97,0,4737,"{""time_limit"": 254, ""profit_trailing"": 71, ""stop_loss"": 93}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.005,0.0025,8,True,,0.0,408,173,-13.703778230105867,-0.5481511292042347,-4.199597701230322,14.281942556409513,0.5124570780328016,-0.015682052805139186,-0.03358769174045554,0.5402767552056785,96,0,4887,"{""time_limit"": 261, ""profit_trailing"": 55, ""stop_loss"": 92}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.008,,,,8,True,,0.0,383,162,-12.566400702510933,-0.5026560281004373,-3.3965653837318857,13.082357043007889,0.5629693645915915,-0.015268825838862677,-0.032810445698461956,0.5843386003662381,84,0,4031,"{""time_limit"": 336, ""stop_loss"": 47}",0.3679182949160862
