entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,entry_rsi_min,entry_macd_min,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.64,0.64,0.15,1,5400,0.005,,,,8,True,50.0,0.0,371,153,-11.110046720143561,-0.44440186880574245,-3.2110093705285365,11.952713022248954,0.5827145697581927,-0.020112104823942236,-0.02994621757451093,0.5226633440939382,79,0,5307,"{""time_limit"": 284, ""stop_loss"": 87}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,,0.0015,8,True,50.0,0.0,371,153,-11.110046720143561,-0.44440186880574245,-3.2110093705285365,11.952713022248954,0.5827145697581927,-0.020112104823942236,-0.02994621757451093,0.5226633440939382,79,0,5307,"{""time_limit"": 284, ""stop_loss"": 87}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,,0.0025,8,True,50.0,0.0,371,153,-11.110046720143561,-0.44440186880574245,-3.2110093705285365,11.952713022248954,0.5827145697581927,-0.020112104823942236,-0.02994621757451093,0.5226633440939382,79,0,5307,"{""time_limit"": 284, ""stop_loss"": 87}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.003,,8,True,50.0,0.0,371,153,-11.110046720143561,-0.44440186880574245,-3.2110093705285365,11.952713022248954,0.5827145697581927,-0.020112104823942236,-0.02994621757451093,0.5226633440939382,79,0,5307,"{""time_limit"": 284, ""stop_loss"": 87}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.003,0.0015,8,True,50.0,0.0,418,205,-11.50890769276053,-0.46035630771042124,-3.8654940280620806,12.26714928870103,0.5381124546252944,-0.003181653137571157,-0.02753327199225007,0.48332106246814294,101,0,5678,"{""profit_trailing"": 141, ""time_limit"": 195, ""stop_loss"": 82}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.003,0.0025,8,True,50.0,0.0,395,170,-11.589173032561495,-0.4635669213024598,-3.5846584848229748,12.434851566824939,0.5422987508198036,-0.011642033752341796,-0.029339678563446797,0.48904117347227727,87,0,5747,"{""profit_trailing"": 101, ""time_limit"": 213, ""stop_loss"": 81}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.005,,8,True,50.0,0.0,371,153,-11.110046720143561,-0.44440186880574245,-3.2110093705285365,11.952713022248954,0.5827145697581927,-0.020112104823942236,-0.02994621757451093,0.5226633440939382,79,0,5307,"{""time_limit"": 284, ""stop_loss"": 87}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.005,0.0015,8,True,50.0,0.0,382,164,-11.656794063057607,-0.4662717625223043,-3.6091202774670648,12.613509370840804,0.5612069716456843,-0.015682052805139186,-0.030515167704339277,0.4998772913480961,84,0,5484,"{""time_limit"": 230, ""profit_trailing"": 65, ""stop_loss"": 87}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.005,0.0025,8,True,50.0,0.0,376,162,-11.905736828383422,-0.47622947313533687,-3.6219067434584735,12.804755890077955,0.5469956986269533,-0.016373348314220236,-0.03166419369250909,0.5026523947065376,83,0,5483,"{""time_limit"": 240, ""profit_trailing"": 50, ""stop_loss"": 86}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.008,,,,8,True,50.0,0.0,359,156,-11.568240605657316,-0.4627296242262926,-3.1945159229745532,12.297222016285422,0.5755593277788809,-0.013592642441498028,-0.032223511436371345,0.5489418738555059,75,0,4615,"{""time_limit"": 313, ""stop_loss"": 46}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.008,,,0.0015,8,True,50.0,0.0,359,156,-11.568240605657316,-0.4627296242262926,-3.1945159229745532,12.297222016285422,0.5755593277788809,-0.013592642441498028,-0.032223511436371345,0.5489418738555059,75,0,4615,"{""time_limit"": 313, ""stop_loss"": 46}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.008,,,0.0025,8,True,50.0,0.0,359,156,-11.568240605657316,-0.4627296242262926,-3.1945159229745532,12.297222016285422,0.5755593277788809,-0.013592642441498028,-0.032223511436371345,0.5489418738555059,75,0,4615,"{""time_limit"": 313, ""stop_loss"": 46}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.008,,0.003,,8,True,50.0,0.0,359,156,-11.568240605657316,-0.4627296242262926,-3.1945159229745532,12.297222016285422,0.5755593277788809,-0.013592642441498028,-0.032223511436371345,0.5489418738555059,75,0,4615,"{""time_limit"": 313, ""stop_loss"": 46}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.008,,0.003,0.0015,8,True,50.0,0.0,404,205,-11.06892442230823,-0.4427569768923292,-3.5066151202789935,11.703054490992082,0.5561569465615798,0.0016044358527316314,-0.027398327777990665,0.5082026014234203,102,0,5037,"{""profit_trailing"": 138, ""time_limit"": 226, ""stop_loss"": 40}",0.3679182949160862
