entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,entry_rsi_min,entry_macd_min,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.64,0.64,0.15,1,5400,0.005,,,,8,True,,,528,228,-17.909852729886765,-0.7163941091954706,-4.348757107783696,17.999689728429694,0.555231143943095,-0.019189877250096278,-0.03392017562478554,0.7461063600838195,167,0,0,"{""time_limit"": 399, ""stop_loss"": 129}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,,0.0015,8,True,,,528,228,-17.909852729886765,-0.7163941091954706,-4.348757107783696,17.999689728429694,0.555231143943095,-0.019189877250096278,-0.03392017562478554,0.7461063600838195,167,0,0,"{""time_limit"": 399, ""stop_loss"": 129}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,,0.0025,8,True,,,528,228,-17.909852729886765,-0.7163941091954706,-4.348757107783696,17.999689728429694,0.555231143943095,-0.019189877250096278,-0.03392017562478554,0.7461063600838195,167,0,0,"{""time_limit"": 399, ""stop_loss"": 129}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.003,,8,True,,,528,228,-17.909852729886765,-0.7163941091954706,-4.348757107783696,17.999689728429694,0.555231143943095,-0.019189877250096278,-0.03392017562478554,0.7461063600838195,167,0,0,"{""time_limit"": 399, ""stop_loss"": 129}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.003,0.0015,8,True,,,654,335,-18.68028902107761,-0.7472115608431044,-4.977627823170308,19.028356316298776,0.5457294563447562,0.004101742506525615,-0.028563133059751708,0.7045742009778936,219,0,0,"{""time_limit"": 267, ""profit_trailing"": 244, ""stop_loss"": 143}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.003,0.0025,8,True,,,612,287,-16.571074855313693,-0.6628429942125478,-4.1455958239934665,16.73980272522037,0.5826193420370028,-0.004811366328627586,-0.027076919698224976,0.7168073096600026,193,0,0,"{""time_limit"": 295, ""profit_trailing"": 186, ""stop_loss"": 131}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.005,,8,True,,,528,228,-17.909852729886765,-0.7163941091954706,-4.348757107783696,17.999689728429694,0.555231143943095,-0.019189877250096278,-0.03392017562478554,0.7461063600838195,167,0,0,"{""time_limit"": 399, ""stop_loss"": 129}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.005,0.0015,8,True,,,576,268,-17.011557803386182,-0.6804623121354473,-4.286084606847159,17.510978339055942,0.5823201497353468,-0.007166924414416319,-0.029533954519767654,0.7231126465424478,178,0,0,"{""time_limit"": 325, ""profit_trailing"": 114, ""stop_loss"": 137}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.005,,0.005,0.0025,8,True,,,563,262,-16.665688120958738,-0.6666275248383495,-4.193064433749197,16.85371192909938,0.5789721612281485,-0.007190460249295376,-0.029601577479500416,0.7290215400879727,175,0,0,"{""time_limit"": 335, ""profit_trailing"": 96, ""stop_loss"": 132}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.008,,,,8,True,,,492,226,-16.444726087696424,-0.6577890435078569,-3.890309741639669,16.51713373275836,0.5676727001121898,-0.008670914145036486,-0.03342424001564314,0.7474089596194144,135,0,0,"{""time_limit"": 425, ""stop_loss"": 67}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.008,,,0.0015,8,True,,,492,226,-16.444726087696424,-0.6577890435078569,-3.890309741639669,16.51713373275836,0.5676727001121898,-0.008670914145036486,-0.03342424001564314,0.7474089596194144,135,0,0,"{""time_limit"": 425, ""stop_loss"": 67}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.008,,,0.0025,8,True,,,492,226,-16.444726087696424,-0.6577890435078569,-3.890309741639669,16.51713373275836,0.5676727001121898,-0.008670914145036486,-0.03342424001564314,0.7474089596194144,135,0,0,"{""time_limit"": 425, ""stop_loss"": 67}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.008,,0.003,,8,True,,,492,226,-16.444726087696424,-0.6577890435078569,-3.890309741639669,16.51713373275836,0.5676727001121898,-0.008670914145036486,-0.03342424001564314,0.7474089596194144,135,0,0,"{""time_limit"": 425, ""stop_loss"": 67}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.008,,0.003,0.0015,8,True,,,588,315,-14.603319767342066,-0.5841327906936826,-3.790443006914659,15.05602559016933,0.5988661976244853,0.008370244996837797,-0.02483557783561576,0.7142209888429518,183,0,0,"{""time_limit"": 303, ""profit_trailing"": 220, ""stop_loss"": 65}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.008,,0.003,0.0025,8,True,,,561,273,-12.937511566216648,-0.5175004626486659,-3.1519339049295763,13.184866856434569,0.6369906821375626,-0.0012206671533979002,-0.023061517943345197,0.7274168884861528,171,0,0,"{""time_limit"": 331, ""profit_trailing"": 174, ""stop_loss"": 56}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.008,,0.005,,8,True,,,492,226,-16.444726087696424,-0.6577890435078569,-3.890309741639669,16.51713373275836,0.5676727001121898,-0.008670914145036486,-0.03342424001564314,0.7474089596194144,135,0,0,"{""time_limit"": 425, ""stop_loss"": 67}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.008,,0.005,0.0015,8,True,,,533,258,-14.171720449159015,-0.5668688179663606,-3.4851653797969258,14.75796469845819,0.6193039777685935,-0.0021157774366163482,-0.026588593713243923,0.7293047139000586,141,0,0,"{""time_limit"": 357, ""profit_trailing"": 109, ""stop_loss"": 67}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.008,,0.005,0.0025,8,True,,,521,253,-14.258992557276029,-0.5703597022910412,-3.4701934289953007,14.533840079046083,0.6121997707134968,-0.0018590939723061185,-0.027368507787477975,0.736421815710483,142,0,0,"{""time_limit"": 372, ""profit_trailing"": 84, ""stop_loss"": 65}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.012,,,,8,True,,,476,221,-13.839255540727942,-0.5535702216291177,-3.314834979117127,13.911663185789877,0.5985027762298731,-0.00756487145906115,-0.029074066262033488,0.757187895263446,130,0,0,"{""time_limit"": 452, ""stop_loss"": 24}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.012,,,0.0015,8,True,,,476,221,-13.839255540727942,-0.5535702216291177,-3.314834979117127,13.911663185789877,0.5985027762298731,-0.00756487145906115,-0.029074066262033488,0.757187895263446,130,0,0,"{""time_limit"": 452, ""stop_loss"": 24}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.012,,,0.0025,8,True,,,476,221,-13.839255540727942,-0.5535702216291177,-3.314834979117127,13.911663185789877,0.5985027762298731,-0.00756487145906115,-0.029074066262033488,0.757187895263446,130,0,0,"{""time_limit"": 452, ""stop_loss"": 24}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.012,,0.003,,8,True,,,476,221,-13.839255540727942,-0.5535702216291177,-3.314834979117127,13.911663185789877,0.5985027762298731,-0.00756487145906115,-0.029074066262033488,0.757187895263446,130,0,0,"{""time_limit"": 452, ""stop_loss"": 24}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.012,,0.003,0.0015,8,True,,,566,299,-14.244916900964734,-0.5697966760385893,-3.681817568147509,14.687076255753889,0.5871285274525294,0.008216225200027245,-0.025167697704884678,0.7230371335258915,165,0,0,"{""time_limit"": 332, ""profit_trailing"": 206, ""stop_loss"": 28}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.012,,0.003,0.0025,8,True,,,542,262,-12.93769436123756,-0.5175077744495024,-3.1362475417768167,13.185049651455481,0.621954726052374,-0.001433418111324498,-0.02387028479933128,0.7336467123520417,144,0,0,"{""time_limit"": 351, ""profit_trailing"": 166, ""stop_loss"": 25}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.012,,0.005,,8,True,,,476,221,-13.839255540727942,-0.5535702216291177,-3.314834979117127,13.911663185789877,0.5985027762298731,-0.00756487145906115,-0.029074066262033488,0.757187895263446,130,0,0,"{""time_limit"": 452, ""stop_loss"": 24}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.012,,0.005,0.0015,8,True,,,513,250,-13.260531547466641,-0.5304212618986657,-3.2705173345318888,13.846775796765817,0.6166108780800303,-0.0014326264555610986,-0.02584898937128001,0.7385173019199185,136,0,0,"{""time_limit"": 387, ""profit_trailing"": 101, ""stop_loss"": 25}",0.3679182949160862
0.64,0.64,0.15,1,5400,0.012,,0.005,0.0025,8,True,,,504,247,-13.627350751049851,-0.5450940300419941,-3.349048311888035,13.902198272819906,0.6030087985601214,-0.0011498091884873437,-0.027038394347321137,0.7453323516641182,133,0,0,"{""time_limit"": 401, ""profit_trailing"": 78, ""stop_loss"": 25}",0.3679182949160862
0.64,0.64,0.15,1,10800,0.005,,,,8,True,,,349,150,-13.590764223934283,-0.5436305689573713,-3.1080435778112085,13.756312380340857,0.6287559562332107,-0.047034358960477654,-0.03894201783362259,0.8099337373279719,124,0,0,"{""time_limit"": 212, ""stop_loss"": 137}",0.3679182949160862
0.64,0.64,0.15,1,10800,0.005,,,0.0015,8,True,,,349,150,-13.590764223934283,-0.5436305689573713,-3.1080435778112085,13.756312380340857,0.6287559562332107,-0.047034358960477654,-0.03894201783362259,0.8099337373279719,124,0,0,"{""time_limit"": 212, ""stop_loss"": 137}",0.3679182949160862
