entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.64,0.64,0.15,1,5400,0.005,,,,8,True,1130,561,-11.106187208123758,-0.4442474883249503,-2.982763943589316,16.703162970266433,0.7835624360563368,-0.00053521150528359,-0.009828484254976769,0.4127589285714286,209,0,0,"{""time_limit"": 945, ""stop_loss"": 185}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,,0.0015,8,True,1130,561,-11.106187208123758,-0.4442474883249503,-2.982763943589316,16.703162970266433,0.7835624360563368,-0.00053521150528359,-0.009828484254976769,0.4127589285714286,209,0,0,"{""time_limit"": 945, ""stop_loss"": 185}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,,0.0025,8,True,1130,561,-11.106187208123758,-0.4442474883249503,-2.982763943589316,16.703162970266433,0.7835624360563368,-0.00053521150528359,-0.009828484254976769,0.4127589285714286,209,0,0,"{""time_limit"": 945, ""stop_loss"": 185}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,0.003,,8,True,1130,561,-11.106187208123758,-0.4442474883249503,-2.982763943589316,16.703162970266433,0.7835624360563368,-0.00053521150528359,-0.009828484254976769,0.4127589285714286,209,0,0,"{""time_limit"": 945, ""stop_loss"": 185}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,0.003,0.0015,8,True,1289,723,-14.068798324129276,-0.562751932965171,-3.9107216815521846,17.109270123897787,0.7395756980358558,0.011083721906793801,-0.010914506069921863,0.38873214285714286,256,0,0,"{""profit_trailing"": 439, ""time_limit"": 647, ""stop_loss"": 203}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,0.003,0.0025,8,True,1239,637,-11.861742875461559,-0.47446971501846236,-3.19183282386098,17.103180308523434,0.7756716614478619,0.0021590049769804817,-0.00957364235307632,0.4015625,260,0,0,"{""time_limit"": 727, ""stop_loss"": 199, ""profit_trailing"": 313}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,0.005,,8,True,1130,561,-11.106187208123758,-0.4442474883249503,-2.982763943589316,16.703162970266433,0.7835624360563368,-0.00053521150528359,-0.009828484254976769,0.4127589285714286,209,0,0,"{""time_limit"": 945, ""stop_loss"": 185}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,0.005,0.0015,8,True,1183,609,-11.097300211691245,-0.4438920084676498,-3.011889886579763,16.402453687461076,0.7915421536619017,0.0027671493182760843,-0.009380642613432993,0.40173214285714287,245,0,0,"{""profit_trailing"": 185, ""time_limit"": 802, ""stop_loss"": 196}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,0.005,0.0025,8,True,1169,601,-11.428686893082254,-0.4571474757232902,-3.0555103840492124,17.394195545535553,0.7842602114612435,0.002604620137870951,-0.00977646440811142,0.4058839285714286,237,0,0,"{""time_limit"": 829, ""stop_loss"": 197, ""profit_trailing"": 143}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,,,8,True,1066,549,-6.013563837304368,-0.2405425534921747,-1.633989540561495,13.374047068150652,0.8625660390734186,0.0026112331860567327,-0.005641241873643873,0.41620089285714285,164,0,0,"{""time_limit"": 1000, ""stop_loss"": 66}",0.13733482142857142
