entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,entry_rsi_min,entry_macd_min,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.64,0.64,0.15,1,5400,0.005,,,,8,True,,0.0,704,368,-3.8275307207940914,-0.15310122883176366,-1.3334110883416572,8.46890719513657,0.8725825264910809,0.004336874301753474,-0.005436833410218869,0.2613883928571429,94,0,9909,"{""time_limit"": 600, ""stop_loss"": 104}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,,0.0015,8,True,,0.0,704,368,-3.8275307207940914,-0.15310122883176366,-1.3334110883416572,8.46890719513657,0.8725825264910809,0.004336874301753474,-0.005436833410218869,0.2613883928571429,94,0,9909,"{""time_limit"": 600, ""stop_loss"": 104}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,,0.0025,8,True,,0.0,704,368,-3.8275307207940914,-0.15310122883176366,-1.3334110883416572,8.46890719513657,0.8725825264910809,0.004336874301753474,-0.005436833410218869,0.2613883928571429,94,0,9909,"{""time_limit"": 600, ""stop_loss"": 104}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,0.003,,8,True,,0.0,704,368,-3.8275307207940914,-0.15310122883176366,-1.3334110883416572,8.46890719513657,0.8725825264910809,0.004336874301753474,-0.005436833410218869,0.2613883928571429,94,0,9909,"{""time_limit"": 600, ""stop_loss"": 104}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,0.003,0.0015,8,True,,0.0,796,454,-6.794297284726309,-0.27177189138905233,-2.375266820017095,10.309368377996705,0.7913759312700244,0.011774525678645464,-0.008535549352671241,0.24885714285714286,111,0,9913,"{""profit_trailing"": 254, ""time_limit"": 422, ""stop_loss"": 120}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,0.003,0.0025,8,True,,0.0,743,391,-6.766726393486352,-0.2706690557394541,-2.399865351694189,10.3508900207925,0.781976446690828,0.005042894906630631,-0.009107303355970863,0.24902232142857142,107,0,10426,"{""time_limit"": 464, ""stop_loss"": 112, ""profit_trailing"": 167}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,0.005,,8,True,,0.0,704,368,-3.8275307207940914,-0.15310122883176366,-1.3334110883416572,8.46890719513657,0.8725825264910809,0.004336874301753474,-0.005436833410218869,0.2613883928571429,94,0,9909,"{""time_limit"": 600, ""stop_loss"": 104}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,0.005,0.0015,8,True,,0.0,743,398,-4.575756186887498,-0.1830302474754999,-1.5737167772007814,9.381463047846871,0.8571426761419235,0.008283326158353102,-0.006158487465528255,0.25841071428571427,106,0,9787,"{""profit_trailing"": 118, ""time_limit"": 511, ""stop_loss"": 114}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.005,,0.005,0.0025,8,True,,0.0,722,387,-4.000326482966543,-0.1600130593186617,-1.3902613983370387,9.015833211794948,0.8693375739146915,0.008276340006834512,-0.005540618397460578,0.25767410714285716,103,0,10064,"{""time_limit"": 531, ""stop_loss"": 109, ""profit_trailing"": 82}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,,,8,True,,0.0,689,366,-2.625988991341041,-0.10503955965364163,-0.8864246053510484,8.104356155517518,0.9069151131051852,0.0062283044478693254,-0.0038113047769826364,0.269,88,0,9118,"{""time_limit"": 645, ""stop_loss"": 44}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,,0.0015,8,True,,0.0,689,366,-2.625988991341041,-0.10503955965364163,-0.8864246053510484,8.104356155517518,0.9069151131051852,0.0062283044478693254,-0.0038113047769826364,0.269,88,0,9118,"{""time_limit"": 645, ""stop_loss"": 44}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,,0.0025,8,True,,0.0,689,366,-2.625988991341041,-0.10503955965364163,-0.8864246053510484,8.104356155517518,0.9069151131051852,0.0062283044478693254,-0.0038113047769826364,0.269,88,0,9118,"{""time_limit"": 645, ""stop_loss"": 44}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,0.003,,8,True,,0.0,689,366,-2.625988991341041,-0.10503955965364163,-0.8864246053510484,8.104356155517518,0.9069151131051852,0.0062283044478693254,-0.0038113047769826364,0.269,88,0,9118,"{""time_limit"": 645, ""stop_loss"": 44}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,0.003,0.0015,8,True,,0.0,768,442,-3.7657138665665,-0.15062855466266,-1.307362306395141,8.632736500274115,0.8700615896427213,0.011999582231900311,-0.004903273263758455,0.25616517857142856,108,0,9163,"{""profit_trailing"": 246, ""time_limit"": 474, ""stop_loss"": 48}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,0.003,0.0025,8,True,,0.0,724,383,-4.658329939984943,-0.18633319759939773,-1.619597705841954,8.912255813785793,0.8356525109954196,0.0056170954266482765,-0.006434157375669806,0.2574330357142857,101,0,9535,"{""time_limit"": 512, ""profit_trailing"": 165, ""stop_loss"": 47}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,0.005,,8,True,,0.0,689,366,-2.625988991341041,-0.10503955965364163,-0.8864246053510484,8.104356155517518,0.9069151131051852,0.0062283044478693254,-0.0038113047769826364,0.269,88,0,9118,"{""time_limit"": 645, ""stop_loss"": 44}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,0.005,0.0015,8,True,,0.0,722,391,-3.253066739527167,-0.13012266958108668,-1.0707639432012652,9.369783273831224,0.8918126506649197,0.009880902450258678,-0.004505632603223214,0.2666607142857143,100,0,8945,"{""profit_trailing"": 111, ""time_limit"": 561, ""stop_loss"": 50}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.008,,0.005,0.0025,8,True,,0.0,706,383,-2.771795446411228,-0.11087181785644912,-0.9260061570297873,8.81095687809978,0.9038549181283708,0.009880902450258678,-0.003926055873103707,0.26609375,97,0,9163,"{""time_limit"": 583, ""stop_loss"": 46, ""profit_trailing"": 77}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,,,8,True,,0.0,686,364,-0.22252873856448074,-0.00890114954257923,-0.07831682867514847,6.329447262920787,0.9914511575087859,0.0061244037824042166,-0.0003243859162747423,0.273625,85,0,8867,"{""time_limit"": 674, ""stop_loss"": 12}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,,0.0015,8,True,,0.0,686,364,-0.22252873856448074,-0.00890114954257923,-0.07831682867514847,6.329447262920787,0.9914511575087859,0.0061244037824042166,-0.0003243859162747423,0.273625,85,0,8867,"{""time_limit"": 674, ""stop_loss"": 12}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,,0.0025,8,True,,0.0,686,364,-0.22252873856448074,-0.00890114954257923,-0.07831682867514847,6.329447262920787,0.9914511575087859,0.0061244037824042166,-0.0003243859162747423,0.273625,85,0,8867,"{""time_limit"": 674, ""stop_loss"": 12}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,0.003,,8,True,,0.0,686,364,-0.22252873856448074,-0.00890114954257923,-0.07831682867514847,6.329447262920787,0.9914511575087859,0.0061244037824042166,-0.0003243859162747423,0.273625,85,0,8867,"{""time_limit"": 674, ""stop_loss"": 12}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,0.003,0.0015,8,True,,0.0,763,440,-1.8307392731983507,-0.07322957092793403,-0.6406914893143542,7.095505185514191,0.9326591865542495,0.01286812886304963,-0.0023993961640869565,0.26049553571428574,99,0,8842,"{""profit_trailing"": 245, ""time_limit"": 502, ""stop_loss"": 16}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,0.003,0.0025,8,True,,0.0,721,382,-2.4956482057394367,-0.09982592822957746,-0.8906030706327344,7.206075447904643,0.9051376239258028,0.005840917950329108,-0.0034613706043542733,0.2619330357142857,94,0,9248,"{""time_limit"": 541, ""profit_trailing"": 166, ""stop_loss"": 14}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,0.005,,8,True,,0.0,686,364,-0.22252873856448074,-0.00890114954257923,-0.07831682867514847,6.329447262920787,0.9914511575087859,0.0061244037824042166,-0.0003243859162747423,0.273625,85,0,8867,"{""time_limit"": 674, ""stop_loss"": 12}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,0.005,0.0015,8,True,,0.0,719,390,-0.5103967365035261,-0.020415869460141046,-0.17514675430865156,7.28979349888114,0.981508563067142,0.010712877289297037,-0.0007098702872093506,0.27149107142857143,92,0,8627,"{""profit_trailing"": 114, ""time_limit"": 591, ""stop_loss"": 14}",0.13733482142857142
0.64,0.64,0.15,1,5400,0.012,,0.005,0.0025,8,True,,0.0,703,382,0.02123943885445506,0.0008495775541782025,0.007448274220332893,6.662937101876925,1.000808218065848,0.010712877289297037,3.0212573050442075e-05,0.2707455357142857,89,0,8884,"{""time_limit"": 610, ""stop_loss"": 13, ""profit_trailing"": 80}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,,,8,True,,0.0,513,274,-0.6746995371682618,-0.026987981486730473,-0.20534276736714616,7.466328274602009,0.9768058178988043,0.008869389158520737,-0.0013152037761564705,0.3555044642857143,83,0,8177,"{""time_limit"": 388, ""stop_loss"": 125}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,,0.0015,8,True,,0.0,513,274,-0.6746995371682618,-0.026987981486730473,-0.20534276736714616,7.466328274602009,0.9768058178988043,0.008869389158520737,-0.0013152037761564705,0.3555044642857143,83,0,8177,"{""time_limit"": 388, ""stop_loss"": 125}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,,0.0025,8,True,,0.0,513,274,-0.6746995371682618,-0.026987981486730473,-0.20534276736714616,7.466328274602009,0.9768058178988043,0.008869389158520737,-0.0013152037761564705,0.3555044642857143,83,0,8177,"{""time_limit"": 388, ""stop_loss"": 125}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,0.003,,8,True,,0.0,513,274,-0.6746995371682618,-0.026987981486730473,-0.20534276736714616,7.466328274602009,0.9768058178988043,0.008869389158520737,-0.0013152037761564705,0.3555044642857143,83,0,8177,"{""time_limit"": 388, ""stop_loss"": 125}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,0.003,0.0015,8,True,,0.0,657,425,-4.514106526112925,-0.18056426104451698,-1.5281936810851966,10.242816765037944,0.8540729015770141,0.024060664902817105,-0.006870786188908556,0.29235267857142855,108,0,9234,"{""profit_trailing"": 354, ""time_limit"": 159, ""stop_loss"": 144}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,0.003,0.0025,8,True,,0.0,599,343,-4.781166294214049,-0.19124665176856198,-1.624441466265992,10.865620008685307,0.8364608617429856,0.010946928927589493,-0.007981913679823115,0.3021205357142857,104,0,9808,"{""profit_trailing"": 278, ""stop_loss"": 132, ""time_limit"": 189}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,0.005,,8,True,,0.0,513,274,-0.6746995371682618,-0.026987981486730473,-0.20534276736714616,7.466328274602009,0.9768058178988043,0.008869389158520737,-0.0013152037761564705,0.3555044642857143,83,0,8177,"{""time_limit"": 388, ""stop_loss"": 125}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,0.005,0.0015,8,True,,0.0,577,335,-0.8007763564351366,-0.03203105425740546,-0.2576360426097292,8.513832229653366,0.9740428544730827,0.024913264997726423,-0.001387827307513247,0.32233482142857145,103,0,8855,"{""profit_trailing"": 195, ""time_limit"": 242, ""stop_loss"": 140}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.005,,0.005,0.0025,8,True,,0.0,553,321,-0.7431401153244893,-0.029725604612979573,-0.2421720320160798,7.878781559415427,0.974604928522859,0.02266228892406113,-0.0013438338432631047,0.3273169642857143,99,0,9035,"{""profit_trailing"": 153, ""stop_loss"": 131, ""time_limit"": 269}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,,,8,True,,0.0,479,275,1.4815601071017,0.059262404284067996,0.4512367087925056,7.364869653951173,1.0572750883630437,0.01836452606326005,0.0030930273634690946,0.36008035714285713,77,0,7441,"{""time_limit"": 418, ""stop_loss"": 61}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,,0.0015,8,True,,0.0,479,275,1.4815601071017,0.059262404284067996,0.4512367087925056,7.364869653951173,1.0572750883630437,0.01836452606326005,0.0030930273634690946,0.36008035714285713,77,0,7441,"{""time_limit"": 418, ""stop_loss"": 61}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,,0.0025,8,True,,0.0,479,275,1.4815601071017,0.059262404284067996,0.4512367087925056,7.364869653951173,1.0572750883630437,0.01836452606326005,0.0030930273634690946,0.36008035714285713,77,0,7441,"{""time_limit"": 418, ""stop_loss"": 61}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,0.003,,8,True,,0.0,479,275,1.4815601071017,0.059262404284067996,0.4512367087925056,7.364869653951173,1.0572750883630437,0.01836452606326005,0.0030930273634690946,0.36008035714285713,77,0,7441,"{""time_limit"": 418, ""stop_loss"": 61}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,0.003,0.0015,8,True,,0.0,601,409,-1.3470610083176537,-0.05388244033270615,-0.44150096064734284,9.2732156184,0.9493035677092772,0.026715412144987256,-0.0022413660704120614,0.30458928571428573,106,0,8271,"{""profit_trailing"": 335, ""time_limit"": 201, ""stop_loss"": 65}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,0.003,0.0025,8,True,,0.0,559,336,-3.198325741159734,-0.12793302964638936,-1.0409378287148725,11.211563290779893,0.8791005868660418,0.013016643075135375,-0.005721512953774122,0.3133660714285714,100,0,8700,"{""profit_trailing"": 265, ""stop_loss"": 65, ""time_limit"": 229}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,0.005,,8,True,,0.0,479,275,1.4815601071017,0.059262404284067996,0.4512367087925056,7.364869653951173,1.0572750883630437,0.01836452606326005,0.0030930273634690946,0.36008035714285713,77,0,7441,"{""time_limit"": 418, ""stop_loss"": 61}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,0.005,0.0015,8,True,,0.0,531,329,1.3914583307390942,0.05565833322956377,0.4358471696293537,8.844253986535282,1.0509594443961732,0.03346576719046005,0.002620448833783581,0.33378125,96,0,7928,"{""profit_trailing"": 178, ""time_limit"": 285, ""stop_loss"": 68}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.008,,0.005,0.0025,8,True,,0.0,518,316,-0.15131191262535484,-0.006052476505014194,-0.04684665885943639,9.742677200102007,0.994496448496096,0.027788426759404218,-0.0002921079394312002,0.33627232142857144,92,0,8151,"{""profit_trailing"": 142, ""stop_loss"": 67, ""time_limit"": 309}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.012,,,,8,True,,0.0,469,277,3.229495730808653,0.12917982923234614,0.9602156173983182,6.531146197014481,1.1345050433675272,0.021676954178148508,0.006885918402577084,0.367375,71,0,6867,"{""time_limit"": 443, ""stop_loss"": 26}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.012,,,0.0015,8,True,,0.0,469,277,3.229495730808653,0.12917982923234614,0.9602156173983182,6.531146197014481,1.1345050433675272,0.021676954178148508,0.006885918402577084,0.367375,71,0,6867,"{""time_limit"": 443, ""stop_loss"": 26}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.012,,,0.0025,8,True,,0.0,469,277,3.229495730808653,0.12917982923234614,0.9602156173983182,6.531146197014481,1.1345050433675272,0.021676954178148508,0.006885918402577084,0.367375,71,0,6867,"{""time_limit"": 443, ""stop_loss"": 26}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.012,,0.003,,8,True,,0.0,469,277,3.229495730808653,0.12917982923234614,0.9602156173983182,6.531146197014481,1.1345050433675272,0.021676954178148508,0.006885918402577084,0.367375,71,0,6867,"{""time_limit"": 443, ""stop_loss"": 26}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.012,,0.003,0.0015,8,True,,0.0,585,403,0.7228902787789879,0.028915611151159516,0.23447602987957736,7.846668046504367,1.0300531828300905,0.0270564103941628,0.0012357098782546816,0.3145401785714286,92,0,7519,"{""profit_trailing"": 329, ""time_limit"": 226, ""stop_loss"": 30}",0.13733482142857142
