entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,entry_rsi_min,entry_macd_min,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.85,0.85,0.15,1,5400,0.005,,,,8,True,50.0,,1102,491,-30.4624894260459,-1.2184995770418359,-5.3892932261820485,31.524549369633363,0.6386715472949746,-0.0164285458781207,-0.027642912364832954,0.37199553571428573,1083,0,7408,"{""time_limit"": 769, ""stop_loss"": 333}",0.22923214285714286
0.85,0.85,0.15,1,5400,0.005,0.0075,,,8,True,50.0,,1143,513,-30.318702501805003,-1.2127481000722,-5.3751043154543705,31.377968856497812,0.6544472172915906,-0.0156872013767966,-0.026525548995454947,0.36096428571428574,1156,0,7533,"{""time_limit"": 643, ""take_profit"": 147, ""stop_loss"": 353}",0.22923214285714286
0.85,0.85,0.15,1,5400,0.005,0.01,,,8,True,50.0,,1114,498,-29.88658407403901,-1.1954633629615605,-5.273180651183115,31.053636539998646,0.6500287463828697,-0.0164285458781207,-0.02682817241834743,0.36684375,1089,0,7461,"{""time_limit"": 707, ""take_profit"": 69, ""stop_loss"": 338}",0.22923214285714286
0.85,0.85,0.15,1,5400,0.008,,,,8,True,50.0,,1033,485,-22.180835178089918,-0.8872334071235968,-3.831011553641036,23.242895121677382,0.7076959338613252,-0.010350345149090018,-0.02147225089844137,0.38678125,971,0,6264,"{""time_limit"": 880, ""stop_loss"": 153}",0.22923214285714286
0.85,0.85,0.15,1,5400,0.008,0.0075,,,8,True,50.0,,1072,502,-22.881763657506614,-0.9152705463002646,-3.930867489948031,23.941030012199423,0.7135858251146582,-0.010379533737296998,-0.021344928784987522,0.37770089285714287,1022,0,6263,"{""time_limit"": 762, ""take_profit"": 146, ""stop_loss"": 164}",0.22923214285714286
0.85,0.85,0.15,1,5400,0.008,0.01,,,8,True,50.0,,1045,488,-21.886758692638768,-0.8754703477055508,-3.7506046598194698,23.053811158598403,0.7179669282021127,-0.010490613979874564,-0.020944266691520358,0.3827857142857143,969,0,6300,"{""time_limit"": 820, ""take_profit"": 69, ""stop_loss"": 156}",0.22923214285714286
0.85,0.85,0.15,1,5400,0.012,,,,8,True,50.0,,1009,468,-17.207541559284348,-0.6883016623713739,-2.9844100491048176,18.26960150287181,0.7523312396092265,-0.010408722325503977,-0.01705405506371095,0.3965223214285714,894,0,5624,"{""time_limit"": 958, ""stop_loss"": 51}",0.22923214285714286
0.85,0.85,0.15,1,5400,0.012,0.0075,,,8,True,50.0,,1044,487,-17.263794495325804,-0.6905517798130322,-2.9608716762378844,18.361624955700112,0.7645622605973225,-0.009118365419970829,-0.016536201623875268,0.3870625,993,0,5612,"{""time_limit"": 845, ""take_profit"": 140, ""stop_loss"": 59}",0.22923214285714286
0.85,0.85,0.15,1,5400,0.012,0.01,,,8,True,50.0,,1020,473,-17.456089000613694,-0.6982435600245478,-3.0057482046043735,18.62314146657333,0.7558680034814265,-0.010495341230154838,-0.01711381274569969,0.39138392857142856,940,0,5683,"{""time_limit"": 897, ""take_profit"": 68, ""stop_loss"": 55}",0.22923214285714286
0.85,0.85,0.15,1,14400,0.005,,,,8,True,50.0,,641,242,-23.198328489099023,-0.927933139563961,-3.5047775618890014,25.034559480213957,0.687686680141683,-0.14745846308766028,-0.03619084007659753,0.45521875,883,0,5037,"{""time_limit"": 304, ""stop_loss"": 337}",0.22923214285714286
0.85,0.85,0.15,1,14400,0.005,0.0075,,,8,True,50.0,,769,317,-25.550517240063833,-1.0220206896025532,-4.294004810612075,26.580143790228444,0.6930227684533656,-0.14110412329791644,-0.03322564010411424,0.3996517857142857,1074,0,6177,"{""time_limit"": 145, ""take_profit"": 237, ""stop_loss"": 387}",0.22923214285714286
0.85,0.85,0.15,1,14400,0.005,0.01,,,8,True,50.0,,705,274,-24.659019862432235,-0.9863607944972894,-4.0288659485078275,25.72017883696836,0.6929425117941711,-0.14761065460603187,-0.03497733313820175,0.4193125,1008,0,5720,"{""time_limit"": 189, ""take_profit"": 149, ""stop_loss"": 367}",0.22923214285714286
0.85,0.85,0.15,1,14400,0.008,,,,8,True,50.0,,557,245,-14.574116757194227,-0.5829646702877691,-2.1054227235555856,16.4771075975188,0.7789867288306467,-0.033869146998698335,-0.026165380174495878,0.4783482142857143,832,0,3936,"{""time_limit"": 367, ""stop_loss"": 190}",0.22923214285714286
0.85,0.85,0.15,1,14400,0.008,0.0075,,,8,True,50.0,,662,316,-17.280820004387603,-0.6912328001755041,-2.6897944404501715,18.21912923997075,0.7715108315863665,-0.01418772340132845,-0.0261039577105553,0.42741964285714285,958,0,4591,"{""time_limit"": 214, ""take_profit"": 224, ""stop_loss"": 224}",0.22923214285714286
0.85,0.85,0.15,1,14400,0.008,0.01,,,8,True,50.0,,609,271,-18.25540004234746,-0.7302160016938984,-2.8112157030853204,19.379036385169417,0.7501426384779044,-0.033607734390841255,-0.029976026342114027,0.44645982142857144,904,0,4291,"{""time_limit"": 256, ""take_profit"": 135, ""stop_loss"": 218}",0.22923214285714286
0.85,0.85,0.15,1,14400,0.012,,,,8,True,50.0,,517,243,-8.73054875368597,-0.3492219501474388,-1.2137225267924212,10.933038281988292,0.8558348787446328,-0.010134639171113496,-0.016886941496491236,0.4978705357142857,694,0,3139,"{""time_limit"": 407, ""stop_loss"": 110}",0.22923214285714286
0.85,0.85,0.15,1,14400,0.012,0.0075,,,8,True,50.0,,604,310,-10.095504810330727,-0.4038201924132291,-1.5332184762080856,11.232577503511687,0.8500389083476056,0.0074314714547563865,-0.016714411937633653,0.4518125,868,0,3852,"{""time_limit"": 264, ""take_profit"": 215, ""stop_loss"": 125}",0.22923214285714286
0.85,0.85,0.15,1,14400,0.012,0.01,,,8,True,50.0,,560,273,-11.195341631298088,-0.44781366525192356,-1.6716790395759837,12.582652592399462,0.8299092657782956,-0.005009849200167777,-0.019991681484460885,0.4704598214285714,766,0,3549,"{""time_limit"": 307, ""take_profit"": 133, ""stop_loss"": 120}",0.22923214285714286
0.85,0.85,0.15,1,21600,0.005,,,,8,True,50.0,,522,168,-21.14396741358414,-0.8457586965433656,-3.0281761685504183,22.080658814380804,0.6987632421208207,-0.16174929309095049,-0.04050568470035269,0.49034375,760,0,4255,"{""time_limit"": 209, ""stop_loss"": 313}",0.22923214285714286
0.85,0.85,0.15,1,21600,0.005,0.0075,,,8,True,50.0,,729,300,-25.317035068224385,-1.0126814027289754,-4.17100529965333,26.776798205286816,0.7017771422085661,-0.1531654470544729,-0.034728443166288585,0.4096294642857143,1069,0,5915,"{""take_profit"": 258, ""stop_loss"": 400, ""time_limit"": 71}",0.22923214285714286
0.85,0.85,0.15,1,21600,0.005,0.01,,,8,True,50.0,,635,230,-23.78548579743462,-0.9514194318973849,-3.823091541465456,25.193365626066118,0.7015881556582895,-0.15924704679548785,-0.03745745794871592,0.43599553571428573,984,0,5285,"{""time_limit"": 96, ""take_profit"": 171, ""stop_loss"": 368}",0.22923214285714286
0.85,0.85,0.15,1,21600,0.008,,,,8,True,50.0,,445,174,-16.094094481345994,-0.6437637792538398,-2.1180579696920567,17.00432689772677,0.7604331434640125,-0.09541934532291423,-0.03616650445246287,0.5138616071428571,686,0,3211,"{""time_limit"": 240, ""stop_loss"": 205}",0.22923214285714286
0.85,0.85,0.15,1,21600,0.008,0.0075,,,8,True,50.0,,587,288,-16.33080390476119,-0.6532321561904476,-2.4296085420545213,17.764108057407736,0.7847720587629445,-0.007523479416986355,-0.02782079029771921,0.4429375,929,0,4295,"{""take_profit"": 243, ""stop_loss"": 242, ""time_limit"": 102}",0.22923214285714286
0.85,0.85,0.15,1,21600,0.008,0.01,,,8,True,50.0,,529,228,-17.718693413264905,-0.7087477365305962,-2.5970695604505454,19.100114257480513,0.7606060510471402,-0.07410077943482604,-0.03349469454303381,0.4643348214285714,871,0,3950,"{""time_limit"": 134, ""take_profit"": 162, ""stop_loss"": 233}",0.22923214285714286
