entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,entry_rsi_min,entry_macd_min,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.7,0.7,0.15,1,14400,0.005,,,,8,True,50.0,,306,109,-17.066936415820425,-0.682677456632817,-3.1593382096908242,17.896525886090878,0.593192705898768,-0.15397270309733269,-0.05577430201248504,0.8416784758305779,141,0,2057,"{""time_limit"": 153, ""stop_loss"": 153}",0.5948866320264525
0.7,0.7,0.15,1,14400,0.005,,,0.0015,8,True,50.0,,306,109,-17.066936415820425,-0.682677456632817,-3.1593382096908242,17.896525886090878,0.593192705898768,-0.15397270309733269,-0.05577430201248504,0.8416784758305779,141,0,2057,"{""time_limit"": 153, ""stop_loss"": 153}",0.5948866320264525
0.7,0.7,0.15,1,14400,0.005,,,0.0025,8,True,50.0,,306,109,-17.066936415820425,-0.682677456632817,-3.1593382096908242,17.896525886090878,0.593192705898768,-0.15397270309733269,-0.05577430201248504,0.8416784758305779,141,0,2057,"{""time_limit"": 153, ""stop_loss"": 153}",0.5948866320264525
0.7,0.7,0.15,1,14400,0.005,,0.003,,8,True,50.0,,306,109,-17.066936415820425,-0.682677456632817,-3.1593382096908242,17.896525886090878,0.593192705898768,-0.15397270309733269,-0.05577430201248504,0.8416784758305779,141,0,2057,"{""time_limit"": 153, ""stop_loss"": 153}",0.5948866320264525
0.7,0.7,0.15,1,14400,0.005,,0.003,0.0015,8,True,50.0,,651,354,-21.1230136473094,-0.844920545892376,-4.181200739255557,21.972099844182246,0.6119813892330722,0.015076485395005952,-0.03244702557190379,0.7244922059518186,278,0,4059,"{""profit_trailing"": 371, ""stop_loss"": 221, ""time_limit"": 59}",0.5948866320264525
0.7,0.7,0.15,1,14400,0.005,,0.003,0.0025,8,True,50.0,,562,282,-18.576480359632562,-0.7430592143853025,-3.664928734286369,20.04583653953307,0.6222079676506747,0.0004599694861873076,-0.03305423551536045,0.7216186427334278,259,0,4342,"{""profit_trailing"": 313, ""stop_loss"": 186, ""time_limit"": 63}",0.5948866320264525
0.7,0.7,0.15,1,14400,0.005,,0.005,,8,True,50.0,,306,109,-17.066936415820425,-0.682677456632817,-3.1593382096908242,17.896525886090878,0.593192705898768,-0.15397270309733269,-0.05577430201248504,0.8416784758305779,141,0,2057,"{""time_limit"": 153, ""stop_loss"": 153}",0.5948866320264525
0.7,0.7,0.15,1,14400,0.005,,0.005,0.0015,8,True,50.0,,517,249,-21.665300103057728,-0.8666120041223091,-4.10583299551083,22.787789887537333,0.6073547441306476,-0.019661058191472895,-0.04190580290726832,0.75474334750433,251,0,3326,"{""profit_trailing"": 229, ""stop_loss"": 215, ""time_limit"": 73}",0.5948866320264525
0.7,0.7,0.15,1,14400,0.005,,0.005,0.0025,8,True,50.0,,473,226,-19.584008831396652,-0.7833603532558661,-3.8074529338208882,21.124637983964092,0.6140669899076744,-0.021223875107127296,-0.04140382416785763,0.7485435364509526,239,0,3648,"{""profit_trailing"": 204, ""stop_loss"": 195, ""time_limit"": 74}",0.5948866320264525
0.7,0.7,0.15,1,14400,0.008,,,,8,True,50.0,,268,110,-13.603947115680326,-0.544157884627213,-2.3927723070047024,14.269823019265383,0.6526193933401344,-0.05828714425039994,-0.050760996700299696,0.860632183908046,111,0,1542,"{""time_limit"": 177, ""stop_loss"": 91}",0.5948866320264525
0.7,0.7,0.15,1,14400,0.008,,,0.0015,8,True,50.0,,268,110,-13.603947115680326,-0.544157884627213,-2.3927723070047024,14.269823019265383,0.6526193933401344,-0.05828714425039994,-0.050760996700299696,0.860632183908046,111,0,1542,"{""time_limit"": 177, ""stop_loss"": 91}",0.5948866320264525
0.7,0.7,0.15,1,14400,0.008,,,0.0025,8,True,50.0,,268,110,-13.603947115680326,-0.544157884627213,-2.3927723070047024,14.269823019265383,0.6526193933401344,-0.05828714425039994,-0.050760996700299696,0.860632183908046,111,0,1542,"{""time_limit"": 177, ""stop_loss"": 91}",0.5948866320264525
0.7,0.7,0.15,1,14400,0.008,,0.003,,8,True,50.0,,268,110,-13.603947115680326,-0.544157884627213,-2.3927723070047024,14.269823019265383,0.6526193933401344,-0.05828714425039994,-0.050760996700299696,0.860632183908046,111,0,1542,"{""time_limit"": 177, ""stop_loss"": 91}",0.5948866320264525
0.7,0.7,0.15,1,14400,0.008,,0.003,0.0015,8,True,50.0,,548,328,-16.6797782706865,-0.6671911308274601,-3.205073139946738,17.61491231760523,0.6513198087732804,0.0227051763115733,-0.030437551588844,0.7607463391591875,247,0,3028,"{""profit_trailing"": 346, ""stop_loss"": 129, ""time_limit"": 73}",0.5948866320264525
0.7,0.7,0.15,1,14400,0.008,,0.003,0.0025,8,True,50.0,,485,264,-13.268861040532123,-0.5307544416212849,-2.5980679082337916,14.658157763440704,0.6837628230712801,0.009677725868211896,-0.027358476372231207,0.7543497087072902,223,0,3444,"{""profit_trailing"": 303, ""stop_loss"": 107, ""time_limit"": 75}",0.5948866320264525
