entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,entry_rsi_min,entry_macd_min,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.7,0.7,0.15,1,14400,0.005,,,,8,True,50.0,,1323,450,-62.54896673172808,-2.5019586692691234,-6.520703713372049,63.04865596132584,0.6339341334364603,-0.16096343227168797,-0.04727813056064106,0.8457142857142858,3269,0,11495,"{""stop_loss"": 768, ""time_limit"": 555}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,,0.0015,8,True,50.0,,1323,450,-62.54896673172808,-2.5019586692691234,-6.520703713372049,63.04865596132584,0.6339341334364603,-0.16096343227168797,-0.04727813056064106,0.8457142857142858,3269,0,11495,"{""stop_loss"": 768, ""time_limit"": 555}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,,0.0025,8,True,50.0,,1323,450,-62.54896673172808,-2.5019586692691234,-6.520703713372049,63.04865596132584,0.6339341334364603,-0.16096343227168797,-0.04727813056064106,0.8457142857142858,3269,0,11495,"{""stop_loss"": 768, ""time_limit"": 555}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,0.003,,8,True,50.0,,1323,450,-62.54896673172808,-2.5019586692691234,-6.520703713372049,63.04865596132584,0.6339341334364603,-0.16096343227168797,-0.04727813056064106,0.8457142857142858,3269,0,11495,"{""stop_loss"": 768, ""time_limit"": 555}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,0.003,0.0015,8,True,50.0,,2831,1533,-93.53758274200683,-3.7415033096802732,-10.63165394427871,93.64234834359554,0.5850998332106325,0.012268368414408877,-0.03304047429954316,0.7326964285714286,5256,0,22806,"{""stop_loss"": 1067, ""profit_trailing"": 1695, ""time_limit"": 69}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,0.003,0.0025,8,True,50.0,,2498,1163,-84.15078375734757,-3.3660313502939028,-9.391947445670098,84.26465633731344,0.5906488965257546,-0.007457713981070041,-0.0336872633135899,0.73125,4772,0,24096,"{""stop_loss"": 941, ""profit_trailing"": 1472, ""time_limit"": 85}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,0.005,,8,True,50.0,,1323,450,-62.54896673172808,-2.5019586692691234,-6.520703713372049,63.04865596132584,0.6339341334364603,-0.16096343227168797,-0.04727813056064106,0.8457142857142858,3269,0,11495,"{""stop_loss"": 768, ""time_limit"": 555}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,0.005,0.0015,8,True,50.0,,2220,1074,-80.19359275130881,-3.2077437100523527,-8.660985773275593,80.88491177522138,0.6372523869225457,-0.03554798874561591,-0.036123239978067004,0.7701517857142857,4742,0,18759,"{""stop_loss"": 1043, ""profit_trailing"": 1045, ""time_limit"": 132}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,0.005,0.0025,8,True,50.0,,2054,978,-76.63396956366073,-3.0653587825464292,-8.164359348992772,77.18052915259003,0.6298981359902689,-0.03698616765761323,-0.037309624909279825,0.7655714285714286,4404,0,20074,"{""stop_loss"": 961, ""profit_trailing"": 954, ""time_limit"": 139}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,,,8,True,50.0,,1087,452,-48.67052490860846,-1.9468209963443386,-4.947498160944371,49.45551222761819,0.680127545890597,-0.0687288575962863,-0.04477509191224328,0.8782678571428572,2726,0,8268,"{""stop_loss"": 451, ""time_limit"": 636}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,,0.0015,8,True,50.0,,1087,452,-48.67052490860846,-1.9468209963443386,-4.947498160944371,49.45551222761819,0.680127545890597,-0.0687288575962863,-0.04477509191224328,0.8782678571428572,2726,0,8268,"{""stop_loss"": 451, ""time_limit"": 636}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,,0.0025,8,True,50.0,,1087,452,-48.67052490860846,-1.9468209963443386,-4.947498160944371,49.45551222761819,0.680127545890597,-0.0687288575962863,-0.04477509191224328,0.8782678571428572,2726,0,8268,"{""stop_loss"": 451, ""time_limit"": 636}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,0.003,,8,True,50.0,,1087,452,-48.67052490860846,-1.9468209963443386,-4.947498160944371,49.45551222761819,0.680127545890597,-0.0687288575962863,-0.04477509191224328,0.8782678571428572,2726,0,8268,"{""stop_loss"": 451, ""time_limit"": 636}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,0.003,0.0015,8,True,50.0,,2265,1372,-73.8759584719582,-2.955038338878328,-8.067172551657457,74.1739860035569,0.6167058275513467,0.02195573777672198,-0.03261631720616249,0.7847276785714286,4731,0,16897,"{""stop_loss"": 595, ""profit_trailing"": 1519, ""time_limit"": 151}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,0.003,0.0025,8,True,50.0,,2045,1056,-67.87378176491502,-2.714951270596601,-7.257026995953826,68.06549151394837,0.6227691760020351,0.0034007366170792225,-0.03319011333247672,0.776875,4283,0,19033,"{""stop_loss"": 537, ""profit_trailing"": 1364, ""time_limit"": 144}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,0.005,,8,True,50.0,,1087,452,-48.67052490860846,-1.9468209963443386,-4.947498160944371,49.45551222761819,0.680127545890597,-0.0687288575962863,-0.04477509191224328,0.8782678571428572,2726,0,8268,"{""stop_loss"": 451, ""time_limit"": 636}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,0.005,0.0015,8,True,50.0,,1757,978,-61.56295502507869,-2.4625182010031477,-6.380177459440444,62.7085088807133,0.6764067417192801,0.04091213629634369,-0.03503867673595828,0.820375,4120,0,13361,"{""stop_loss"": 591, ""profit_trailing"": 941, ""time_limit"": 225}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,0.005,0.0025,8,True,50.0,,1649,897,-59.54564492103787,-2.3818257968415146,-6.120204390762019,60.13153113520082,0.6689400370246585,0.027674305914571408,-0.036110154591290335,0.8140267857142857,3871,0,14823,"{""stop_loss"": 558, ""profit_trailing"": 860, ""time_limit"": 231}",0.6132366071428571
