btc_thr,eth_thr,sol_thr,btc_hold,eth_hold,sol_hold,pnl_total,pnl_first_half,pnl_second_half,pnl_min_half,median_daily_pnl,pos_day_fraction,trades_total,stop_losses_total,time_exits_total
0.64,0.7,0.78,90,240,90,4.899000682454156,3.196996261014331,1.7020044214398249,1.7020044214398249,0.039332398228847265,0.5,433,111,322
0.62,0.7,0.78,90,240,90,4.676403697057464,3.000474969641811,1.6759287274156531,1.6759287274156531,0.039332398228847265,0.5,435,112,323
0.66,0.7,0.78,90,240,90,5.045486804659076,3.3998121794473577,1.6456746252117194,1.6456746252117194,0.008901465716969661,0.5,430,110,320
0.68,0.7,0.78,90,240,90,5.045486804659076,3.3998121794473577,1.6456746252117194,1.6456746252117194,0.008901465716969661,0.5,430,110,320
0.64,0.7,0.78,240,240,90,6.007027798914628,4.38719591146928,1.6198318874453488,1.6198318874453488,0.030430248514827785,0.5,349,109,240
0.62,0.7,0.78,240,240,90,5.791225803855056,4.171393916409708,1.6198318874453488,1.6198318874453488,0.030430248514827785,0.5,349,108,241
0.66,0.7,0.78,240,240,90,5.88366793372923,4.2693345366497795,1.6143333970794527,1.6143333970794527,0.03097837529199199,0.5,348,109,239
0.68,0.7,0.78,240,240,90,5.88366793372923,4.2693345366497795,1.6143333970794527,1.6143333970794527,0.03097837529199199,0.5,348,109,239
0.64,0.72,0.78,90,240,90,4.8049019269080695,3.2478412102314076,1.5570607166766621,1.5570607166766621,0.01438649964121183,0.5,433,111,322
0.62,0.72,0.78,90,240,90,4.582304941511378,3.0513199188588875,1.5309850226524904,1.5309850226524904,0.01438649964121183,0.5,435,112,323
0.66,0.72,0.78,90,240,90,4.951388049112991,3.4506571286644343,1.500730920448557,1.500730920448557,-0.016044432870665773,0.5,430,110,320
0.68,0.72,0.78,90,240,90,4.951388049112991,3.4506571286644343,1.500730920448557,1.500730920448557,-0.016044432870665773,0.5,430,110,320
0.64,0.72,0.78,240,240,90,5.912929043368543,4.438040860686357,1.474888182682186,1.474888182682186,-0.000964891830599765,0.5,349,109,240
0.62,0.72,0.78,240,240,90,5.697127048308971,4.222238865626784,1.474888182682186,1.474888182682186,-0.000964891830599765,0.5,349,108,241
0.66,0.72,0.78,240,240,90,5.789569178183145,4.3201794858668565,1.46938969231629,1.46938969231629,-0.0009642861800513436,0.5,348,109,239
0.68,0.72,0.78,240,240,90,5.789569178183145,4.3201794858668565,1.46938969231629,1.46938969231629,-0.0009642861800513436,0.5,348,109,239
0.64,0.68,0.78,90,240,90,4.647282907985464,3.196996261014331,1.450286646971132,1.450286646971132,0.02473601681311391,0.5,434,112,322
0.62,0.68,0.78,90,240,90,4.424685922588771,3.000474969641811,1.4242109529469604,1.4242109529469604,0.02473601681311391,0.5,436,113,323
0.66,0.68,0.78,90,240,90,4.793769030190383,3.3998121794473577,1.3939568507430269,1.3939568507430269,-0.0056949156987636945,0.5,431,111,320
0.68,0.68,0.78,90,240,90,4.793769030190383,3.3998121794473577,1.3939568507430269,1.3939568507430269,-0.0056949156987636945,0.5,431,111,320
0.64,0.68,0.78,240,240,90,5.7553100244459365,4.38719591146928,1.3681141129766563,1.3681141129766563,0.015509952169761143,0.5,350,110,240
0.62,0.68,0.78,240,240,90,5.539508029386365,4.171393916409708,1.3681141129766563,1.3681141129766563,0.015509952169761143,0.5,350,109,241
0.66,0.68,0.78,240,240,90,5.631950159260537,4.2693345366497795,1.3626156226107602,1.3626156226107602,0.015509952169761143,0.5,349,110,239
0.68,0.68,0.78,240,240,90,5.631950159260537,4.2693345366497795,1.3626156226107602,1.3626156226107602,0.015509952169761143,0.5,349,110,239
0.64,0.7,0.78,90,120,90,4.381840337214811,3.1659278447283636,1.2159124924864475,1.2159124924864475,-0.025536192289659213,0.5,490,114,376
0.62,0.7,0.78,90,120,90,4.159243351818118,2.9694065533558427,1.1898367984622757,1.1898367984622757,-0.026895272165562145,0.5,492,115,377
0.64,0.72,0.78,90,120,90,4.384106701673169,3.2206972013780666,1.1634095002951033,1.1634095002951033,-0.05544680109172059,0.5,490,114,376
0.66,0.7,0.78,90,120,90,4.5283264594197306,3.3687437631613903,1.159582696258342,1.159582696258342,-0.011594974175387907,0.5,487,113,374
0.68,0.7,0.78,90,120,90,4.5283264594197306,3.3687437631613903,1.159582696258342,1.159582696258342,-0.011594974175387907,0.5,487,113,374
0.62,0.72,0.78,90,120,90,4.161509716276477,3.0241759100055456,1.1373338062709315,1.1373338062709315,-0.05544680109172059,0.5,492,115,377
0.64,0.7,0.78,240,120,90,5.4898674536752825,4.356127495183312,1.1337399584919712,1.1337399584919712,0.13118333041848243,0.5714285714285714,406,112,294
0.62,0.7,0.78,240,120,90,5.274065458615711,4.140325500123741,1.1337399584919712,1.1337399584919712,0.10135397865097695,0.5714285714285714,406,111,295
0.66,0.7,0.78,240,120,90,5.366507588489885,4.238266120363811,1.128241468126075,1.128241468126075,0.13173145719564663,0.5714285714285714,405,112,293
0.68,0.7,0.78,240,120,90,5.366507588489885,4.238266120363811,1.128241468126075,1.128241468126075,0.13173145719564663,0.5714285714285714,405,112,293
0.64,0.7,0.74,90,240,90,4.469204614892511,3.3442040756533884,1.125000539239122,1.125000539239122,-0.10432882725098852,0.42857142857142855,455,117,338
0.66,0.72,0.78,90,120,90,4.53059282387809,3.4235131198110924,1.107079704066998,1.107079704066998,-0.06341859798944989,0.5,487,113,374
0.68,0.72,0.78,90,120,90,4.53059282387809,3.4235131198110924,1.107079704066998,1.107079704066998,-0.06341859798944989,0.5,487,113,374
0.64,0.68,0.78,90,120,90,4.321421432442049,3.221633931666497,1.0997875007755518,1.0997875007755518,0.01711323316284749,0.5,493,115,378
0.62,0.7,0.74,90,240,90,4.246607629495818,3.1476827842808683,1.0989248452149503,1.0989248452149503,-0.10432882725098852,0.42857142857142855,457,118,339
0.64,0.72,0.78,240,120,90,5.492133818133643,4.410896851833015,1.0812369663006267,1.0812369663006267,0.10262184178157316,0.5714285714285714,406,112,294
0.62,0.72,0.78,240,120,90,5.276331823074072,4.195094856773445,1.0812369663006267,1.0812369663006267,0.08970362472156945,0.5714285714285714,406,111,295
0.66,0.72,0.78,240,120,90,5.368773952948245,4.293035477013514,1.0757384759347306,1.0757384759347306,0.10316996855873736,0.5714285714285714,405,112,293
0.68,0.72,0.78,240,120,90,5.368773952948245,4.293035477013514,1.0757384759347306,1.0757384759347306,0.10316996855873736,0.5714285714285714,405,112,293
0.62,0.68,0.78,90,120,90,4.098824447045356,3.0251126402939765,1.07371180675138,1.07371180675138,0.01575415328694456,0.5,495,116,379
0.66,0.7,0.74,90,240,90,4.615690737097432,3.5470199940864147,1.068670743011017,1.068670743011017,-0.10432882725098852,0.42857142857142855,452,116,336
0.68,0.7,0.74,90,240,90,4.615690737097432,3.5470199940864147,1.068670743011017,1.068670743011017,-0.10432882725098852,0.42857142857142855,452,116,336
0.66,0.68,0.78,90,120,90,4.467907554646969,3.4244498500995237,1.0434577045474462,1.0434577045474462,0.0006235187652411933,0.5,490,114,376
0.68,0.68,0.78,90,120,90,4.467907554646969,3.4244498500995237,1.0434577045474462,1.0434577045474462,0.0006235187652411933,0.5,490,114,376
0.64,0.7,0.74,240,240,90,5.577231731352983,4.534403726108337,1.0428280052446464,1.0428280052446464,-0.0789926762215249,0.5,371,115,256
0.62,0.7,0.74,240,240,90,5.361429736293412,4.318601731048766,1.0428280052446464,1.0428280052446464,-0.0789926762215249,0.5,371,114,257
0.66,0.7,0.74,240,240,90,5.453871866167586,4.416542351288837,1.0373295148787498,1.0373295148787498,-0.0789926762215249,0.5,370,115,255
0.68,0.7,0.74,240,240,90,5.453871866167586,4.416542351288837,1.0373295148787498,1.0373295148787498,-0.0789926762215249,0.5,370,115,255
0.64,0.68,0.78,240,120,90,5.429448548902521,4.411833582121445,1.017614966781076,1.017614966781076,0.056050873514608045,0.5,409,113,296
0.62,0.68,0.78,240,120,90,5.21364655384295,4.196031587061875,1.017614966781076,1.017614966781076,0.02622152174710255,0.5,409,112,297
0.66,0.68,0.78,240,120,90,5.306088683717123,4.293972207301944,1.0121164764151795,1.0121164764151795,0.05659900029177225,0.5,408,113,295
0.68,0.68,0.78,240,120,90,5.306088683717123,4.293972207301944,1.0121164764151795,1.0121164764151795,0.05659900029177225,0.5,408,113,295
0.64,0.72,0.74,90,240,90,4.375105859346425,3.395049024870465,0.9800568344759597,0.9800568344759597,-0.10285453554812188,0.42857142857142855,455,117,338
0.62,0.72,0.74,90,240,90,4.152508873949733,3.1985277334979445,0.953981140451788,0.953981140451788,-0.10285453554812188,0.42857142857142855,457,118,339
0.66,0.72,0.74,90,240,90,4.521591981551346,3.597864943303491,0.9237270382478544,0.9237270382478544,-0.10285453554812188,0.42857142857142855,452,116,336
0.68,0.72,0.74,90,240,90,4.521591981551346,3.597864943303491,0.9237270382478544,0.9237270382478544,-0.10285453554812188,0.42857142857142855,452,116,336
0.64,0.72,0.74,240,240,90,5.483132975806898,4.585248675325413,0.8978843004814836,0.8978843004814836,-0.07052162163425037,0.5,371,115,256
0.62,0.72,0.74,240,240,90,5.267330980747326,4.369446680265842,0.8978843004814836,0.8978843004814836,-0.07052162163425037,0.5,371,114,257
0.66,0.72,0.74,240,240,90,5.3597731106215,4.467387300505913,0.8923858101155873,0.8923858101155873,-0.07052162163425037,0.5,370,115,255
0.68,0.72,0.74,240,240,90,5.3597731106215,4.467387300505913,0.8923858101155873,0.8923858101155873,-0.07052162163425037,0.5,370,115,255
0.64,0.68,0.74,90,240,90,4.217486840423819,3.3442040756533884,0.8732827647704298,0.8732827647704298,-0.2203236428817759,0.42857142857142855,456,118,338
0.62,0.68,0.74,90,240,90,3.9948898550271266,3.1476827842808683,0.847207070746258,0.847207070746258,-0.2203236428817759,0.42857142857142855,458,119,339
0.66,0.68,0.74,90,240,90,4.36397296262874,3.5470199940864147,0.8169529685423242,0.8169529685423242,-0.2203236428817759,0.42857142857142855,453,117,336
0.68,0.68,0.74,90,240,90,4.36397296262874,3.5470199940864147,0.8169529685423242,0.8169529685423242,-0.2203236428817759,0.42857142857142855,453,117,336
0.64,0.68,0.74,240,240,90,5.325513956884291,4.534403726108337,0.7911102307759537,0.7911102307759537,-0.0789926762215249,0.5,372,116,256
0.62,0.68,0.74,240,240,90,5.109711961824719,4.318601731048766,0.7911102307759537,0.7911102307759537,-0.0789926762215249,0.5,372,115,257
0.66,0.68,0.74,240,240,90,5.202154091698893,4.416542351288837,0.7856117404100573,0.7856117404100573,-0.0789926762215249,0.5,371,116,255
0.68,0.68,0.74,240,240,90,5.202154091698893,4.416542351288837,0.7856117404100573,0.7856117404100573,-0.0789926762215249,0.5,371,116,255
0.64,0.7,0.76,90,240,90,4.058497901940671,3.344406105545685,0.714091796394986,0.714091796394986,-0.019338558794485178,0.5,449,119,330
0.62,0.7,0.76,90,240,90,3.835900916543979,3.1478848141731635,0.6880161023708142,0.6880161023708142,-0.019338558794485178,0.5,451,120,331
0.66,0.7,0.76,90,240,90,4.204984024145591,3.54722202397871,0.6577620001668809,0.6577620001668809,-0.019338558794485178,0.5,446,118,328
0.68,0.7,0.76,90,240,90,4.204984024145591,3.54722202397871,0.6577620001668809,0.6577620001668809,-0.019338558794485178,0.5,446,118,328
0.64,0.7,0.74,90,120,90,3.952044269653165,3.3131356593674206,0.6389086102857446,0.6389086102857446,-0.2680974354070762,0.42857142857142855,512,120,392
0.64,0.7,0.76,240,240,90,5.166525018401142,4.534605756000634,0.6319192624005101,0.6319192624005101,0.015509952169761143,0.5,365,117,248
0.62,0.7,0.76,240,240,90,4.950723023341571,4.318803760941061,0.6319192624005101,0.6319192624005101,0.015509952169761143,0.5,365,116,249
0.66,0.7,0.76,240,240,90,5.043165153215744,4.4167443811811316,0.6264207720346138,0.6264207720346138,0.015509952169761143,0.5,364,117,247
0.68,0.7,0.76,240,240,90,5.043165153215744,4.4167443811811316,0.6264207720346138,0.6264207720346138,0.015509952169761143,0.5,364,117,247
0.64,0.7,0.8,90,240,90,2.5063507806511547,1.8891402460442133,0.6172105346069418,0.6172105346069418,-0.03498983215178615,0.42857142857142855,303,71,232
0.62,0.7,0.74,90,120,90,3.7294472842564725,3.1166143679949005,0.6128329162615729,0.6128329162615729,-0.28249896830846566,0.42857142857142855,514,121,393
0.62,0.7,0.8,90,240,90,2.2837537952544626,1.6926189546716928,0.59113484058277,0.59113484058277,-0.03498983215178615,0.42857142857142855,305,72,233
0.64,0.72,0.74,90,120,90,3.954310634111525,3.367905016017124,0.5864056180944002,0.5864056180944002,-0.1928820388553784,0.42857142857142855,512,120,392
0.66,0.7,0.74,90,120,90,4.098530391858087,3.5159515778004473,0.5825788140576396,0.5825788140576396,-0.2680974354070762,0.42857142857142855,509,119,390
0.68,0.7,0.74,90,120,90,4.098530391858087,3.5159515778004473,0.5825788140576396,0.5825788140576396,-0.2680974354070762,0.42857142857142855,509,119,390
0.64,0.72,0.76,90,240,90,3.9643991463945847,3.3952510547627615,0.5691480916318236,0.5691480916318236,-0.03581340279484607,0.5,449,119,330
0.66,0.7,0.8,90,240,90,2.652836902856076,2.091956164477239,0.5608807383788367,0.5608807383788367,-0.06542076466366376,0.42857142857142855,300,70,230
0.68,0.7,0.8,90,240,90,2.652836902856076,2.091956164477239,0.5608807383788367,0.5608807383788367,-0.06542076466366376,0.42857142857142855,300,70,230
0.62,0.72,0.74,90,120,90,3.731713648714832,3.171383724644604,0.5603299240702284,0.5603299240702284,-0.2059198858674643,0.42857142857142855,514,121,393
0.64,0.7,0.74,240,120,90,5.060071386113638,4.503335309822369,0.5567360762912688,0.5567360762912688,-0.27928086151680553,0.42857142857142855,428,118,310
0.62,0.7,0.74,240,120,90,4.844269391054066,4.287533314762799,0.5567360762912688,0.5567360762912688,-0.31512421791484524,0.42857142857142855,428,117,311
0.66,0.7,0.74,240,120,90,4.93671152092824,4.385473935002868,0.5512375859253724,0.5512375859253724,-0.2730178457421072,0.42857142857142855,427,118,309
0.68,0.7,0.74,240,120,90,4.93671152092824,4.385473935002868,0.5512375859253724,0.5512375859253724,-0.2730178457421072,0.42857142857142855,427,118,309
0.62,0.72,0.76,90,240,90,3.741802160997892,3.19872976339024,0.5430723976076518,0.5430723976076518,-0.03581340279484607,0.5,451,120,331
0.64,0.7,0.8,240,240,90,3.614377897111627,3.0793398964991616,0.5350380006124658,0.5350380006124658,0.019525299560973458,0.5,219,69,150
0.62,0.7,0.8,240,240,90,3.3985759020520554,2.8635379014395905,0.5350380006124658,0.5350380006124658,0.019525299560973458,0.5,219,68,151
0.66,0.72,0.74,90,120,90,4.100796756316446,3.5707209344501507,0.5300758218662951,0.5300758218662951,-0.1928820388553784,0.42857142857142855,509,119,390
0.68,0.72,0.74,90,120,90,4.100796756316446,3.5707209344501507,0.5300758218662951,0.5300758218662951,-0.1928820388553784,0.42857142857142855,509,119,390
0.66,0.7,0.8,240,240,90,3.491018031926229,2.961478521679661,0.5295395102465694,0.5295395102465694,-0.02750864089116177,0.5,218,69,149
0.68,0.7,0.8,240,240,90,3.491018031926229,2.961478521679661,0.5295395102465694,0.5295395102465694,-0.02750864089116177,0.5,218,69,149
0.64,0.68,0.74,90,120,90,3.891625364880403,3.368841746305554,0.5227836185748489,0.5227836185748489,-0.22969896777710208,0.42857142857142855,515,121,394
0.66,0.72,0.76,90,240,90,4.110885268599505,3.5980669731957864,0.5128182954037183,0.5128182954037183,-0.03581340279484607,0.5,446,118,328
0.68,0.72,0.76,90,240,90,4.110885268599505,3.5980669731957864,0.5128182954037183,0.5128182954037183,-0.03581340279484607,0.5,446,118,328
0.64,0.72,0.74,240,120,90,5.062337750571999,4.558104666472072,0.5042330840999243,0.5042330840999243,-0.24097448593256082,0.42857142857142855,428,118,310
0.62,0.72,0.74,240,120,90,4.846535755512427,4.342302671412502,0.5042330840999243,0.5042330840999243,-0.24097448593256082,0.42857142857142855,428,117,311
0.66,0.72,0.74,240,120,90,4.938977885386599,4.440243291652571,0.49873459373402795,0.49873459373402795,-0.24097448593256082,0.42857142857142855,427,118,309
0.68,0.72,0.74,240,120,90,4.938977885386599,4.440243291652571,0.49873459373402795,0.49873459373402795,-0.24097448593256082,0.42857142857142855,427,118,309
0.62,0.68,0.74,90,120,90,3.669028379483711,3.172320454933034,0.49670792455067714,0.49670792455067714,-0.24410050067849165,0.42857142857142855,517,122,395
0.64,0.72,0.76,240,240,90,5.072426262855056,4.58545070521771,0.4869755576373477,0.4869755576373477,-0.000964891830599765,0.5,365,117,248
0.62,0.72,0.76,240,240,90,4.856624267795485,4.369648710158138,0.4869755576373477,0.4869755576373477,-0.000964891830599765,0.5,365,116,249
0.66,0.72,0.76,240,240,90,4.949066397669658,4.467589330398208,0.4814770672714511,0.4814770672714511,-0.000964891830599765,0.5,364,117,247
0.68,0.72,0.76,240,240,90,4.949066397669658,4.467589330398208,0.4814770672714511,0.4814770672714511,-0.000964891830599765,0.5,364,117,247
0.64,0.72,0.8,90,240,90,2.4122520251050688,1.9399851952612899,0.4722668298437794,0.4722668298437794,-0.03498983215178615,0.42857142857142855,303,71,232
0.66,0.68,0.74,90,120,90,4.038111487085326,3.5716576647385807,0.4664538223467438,0.4664538223467438,-0.22969896777710208,0.42857142857142855,512,120,392
0.68,0.68,0.74,90,120,90,4.038111487085326,3.5716576647385807,0.4664538223467438,0.4664538223467438,-0.22969896777710208,0.42857142857142855,512,120,392
