entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,max_spread_bps,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.56,0.54,0.15,5,5400,0.005,,8,536,239,0.1373525846375094,0.009156838975833961,0.35182889594518624,0.4216663581953941,1.0462982647991403,-0.0014323882772864674,0.00025625482208490555,0.3835,356,0,0,"{""gate_close"": 372, ""prob_floor"": 515, ""stop_loss"": 4, ""time_limit"": 1}",0.2339
0.56,0.54,0.15,5,5400,0.005,,12,576,227,-1.6663827719419542,-0.11109218479613028,-4.281192559149836,1.6835092254612172,0.601247619836672,-0.002550048478419625,-0.0028930256457325616,0.3657,81,0,0,"{""gate_close"": 262, ""prob_floor"": 393, ""stop_loss"": 1, ""time_limit"": 1}",0.2339
0.56,0.54,0.15,5,5400,0.005,0.01,8,536,239,0.1373525846375094,0.009156838975833961,0.35182889594518624,0.4216663581953941,1.0462982647991403,-0.0014323882772864674,0.00025625482208490555,0.3835,356,0,0,"{""gate_close"": 372, ""prob_floor"": 515, ""stop_loss"": 4, ""time_limit"": 1}",0.2339
0.56,0.54,0.15,5,5400,0.005,0.01,12,576,227,-1.6663827719419542,-0.11109218479613028,-4.281192559149836,1.6835092254612172,0.601247619836672,-0.002550048478419625,-0.0028930256457325616,0.3657,81,0,0,"{""gate_close"": 262, ""prob_floor"": 393, ""stop_loss"": 1, ""time_limit"": 1}",0.2339
0.56,0.54,0.15,5,5400,0.012,,8,536,239,0.1373525846375094,0.009156838975833961,0.35182889594518624,0.4216663581953941,1.0462982647991403,-0.0014323882772864674,0.00025625482208490555,0.3835,355,0,0,"{""gate_close"": 375, ""prob_floor"": 515, ""time_limit"": 1}",0.2339
0.56,0.54,0.15,5,5400,0.012,,12,576,227,-1.6663827719419542,-0.11109218479613028,-4.281192559149836,1.6835092254612172,0.601247619836672,-0.002550048478419625,-0.0028930256457325616,0.3657,80,0,0,"{""gate_close"": 262, ""prob_floor"": 393, ""time_limit"": 1}",0.2339
0.56,0.54,0.15,5,5400,0.012,0.01,8,536,239,0.1373525846375094,0.009156838975833961,0.35182889594518624,0.4216663581953941,1.0462982647991403,-0.0014323882772864674,0.00025625482208490555,0.3835,355,0,0,"{""gate_close"": 375, ""prob_floor"": 515, ""time_limit"": 1}",0.2339
0.56,0.54,0.15,5,5400,0.012,0.01,12,576,227,-1.6663827719419542,-0.11109218479613028,-4.281192559149836,1.6835092254612172,0.601247619836672,-0.002550048478419625,-0.0028930256457325616,0.3657,80,0,0,"{""gate_close"": 262, ""prob_floor"": 393, ""time_limit"": 1}",0.2339
0.56,0.54,0.15,5,14400,0.005,,8,536,239,0.1373525846375094,0.009156838975833961,0.35182889594518624,0.4216663581953941,1.0462982647991403,-0.0014323882772864674,0.00025625482208490555,0.3835,356,0,0,"{""gate_close"": 372, ""prob_floor"": 516, ""stop_loss"": 4}",0.2339
0.56,0.54,0.15,5,14400,0.005,,12,576,227,-1.6663827719419542,-0.11109218479613028,-4.281192559149836,1.6835092254612172,0.601247619836672,-0.002550048478419625,-0.0028930256457325616,0.3657,81,0,0,"{""gate_close"": 262, ""prob_floor"": 394, ""stop_loss"": 1}",0.2339
0.56,0.54,0.15,5,14400,0.005,0.01,8,536,239,0.1373525846375094,0.009156838975833961,0.35182889594518624,0.4216663581953941,1.0462982647991403,-0.0014323882772864674,0.00025625482208490555,0.3835,356,0,0,"{""gate_close"": 372, ""prob_floor"": 516, ""stop_loss"": 4}",0.2339
0.56,0.54,0.15,5,14400,0.005,0.01,12,576,227,-1.6663827719419542,-0.11109218479613028,-4.281192559149836,1.6835092254612172,0.601247619836672,-0.002550048478419625,-0.0028930256457325616,0.3657,81,0,0,"{""gate_close"": 262, ""prob_floor"": 394, ""stop_loss"": 1}",0.2339
0.56,0.54,0.15,5,14400,0.012,,8,536,239,0.1373525846375094,0.009156838975833961,0.35182889594518624,0.4216663581953941,1.0462982647991403,-0.0014323882772864674,0.00025625482208490555,0.3835,355,0,0,"{""gate_close"": 375, ""prob_floor"": 516}",0.2339
