entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,max_spread_bps,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.49,0.48,0.1,1,,0.004,,8,771,490,8.167512026326,0.40837560131629996,8.319016041381026,0.14126550232600188,3.038891001589626,0.005644260719999292,0.01059340081235538,0.4106,1502,0,0,"{""gate_close"": 1502, ""prob_floor"": 717, ""prob_trailing"": 33, ""stop_loss"": 21}",0.264
0.49,0.48,0.1,1,,0.004,,10,965,606,6.274772935635982,0.3137386467817991,8.109962446928545,0.14852381914800272,2.288939968771922,0.005241076546998773,0.006502355373716046,0.3297,685,0,0,"{""gate_close"": 1114, ""prob_floor"": 502, ""prob_trailing"": 25, ""stop_loss"": 9}",0.264
0.49,0.48,0.1,1,,0.004,0.0075,8,771,490,8.145096188022999,0.40725480940114994,8.342329514090299,0.14126550232600188,3.0332952398862134,0.005644260719999292,0.010564327092118025,0.41,1498,0,0,"{""gate_close"": 1469, ""prob_floor"": 674, ""prob_trailing"": 31, ""take_profit"": 74, ""stop_loss"": 21}",0.264
0.49,0.48,0.1,1,,0.004,0.0075,10,965,606,6.274772935635982,0.3137386467817991,8.109962446928545,0.14852381914800272,2.288939968771922,0.005241076546998773,0.006502355373716046,0.3297,685,0,0,"{""gate_close"": 1111, ""prob_floor"": 497, ""prob_trailing"": 25, ""stop_loss"": 9, ""take_profit"": 8}",0.264
0.49,0.48,0.1,1,,0.005,,8,769,488,8.149141626541995,0.4074570813270998,8.343546884426907,0.14126550232600188,3.0662197096979584,0.005624267892000751,0.010597063233474634,0.4108,1502,0,0,"{""gate_close"": 1508, ""prob_floor"": 717, ""prob_trailing"": 32, ""stop_loss"": 14}",0.264
0.49,0.48,0.1,1,,0.005,,10,963,604,6.256402535851977,0.31282012679259885,8.154444930613566,0.14852381914800272,2.301711049642107,0.005214679591001127,0.006496783526326044,0.3299,685,0,0,"{""gate_close"": 1118, ""prob_floor"": 502, ""prob_trailing"": 24, ""stop_loss"": 4}",0.264
0.49,0.48,0.1,1,,0.005,0.0075,8,769,488,8.126725788238994,0.4063362894119497,8.367364191306702,0.14126550232600188,3.0605361605545482,0.005624267892000751,0.010567913898880354,0.4102,1498,0,0,"{""gate_close"": 1475, ""prob_floor"": 674, ""prob_trailing"": 30, ""take_profit"": 74, ""stop_loss"": 14}",0.264
0.49,0.48,0.1,1,,0.005,0.0075,10,963,604,6.256402535851977,0.31282012679259885,8.154444930613566,0.14852381914800272,2.301711049642107,0.005214679591001127,0.006496783526326044,0.3299,685,0,0,"{""gate_close"": 1115, ""prob_floor"": 497, ""prob_trailing"": 24, ""take_profit"": 8, ""stop_loss"": 4}",0.264
0.49,0.48,0.1,1,3600.0,0.004,,8,771,490,8.167512026326,0.40837560131629996,8.319016041381026,0.14126550232600188,3.038891001589626,0.005644260719999292,0.01059340081235538,0.4106,1502,0,0,"{""gate_close"": 1502, ""prob_floor"": 716, ""prob_trailing"": 33, ""stop_loss"": 21, ""time_limit"": 1}",0.264
0.49,0.48,0.1,1,3600.0,0.004,,10,965,606,6.274772935635982,0.3137386467817991,8.109962446928545,0.14852381914800272,2.288939968771922,0.005241076546998773,0.006502355373716046,0.3297,685,0,0,"{""gate_close"": 1114, ""prob_floor"": 501, ""prob_trailing"": 25, ""stop_loss"": 9, ""time_limit"": 1}",0.264
