entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,max_spread_bps,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.49,0.48,0.1,1,,0.004,,8,771,207,-4.0221557835015656,-0.20110778917507827,-4.08684952608331,4.606973392582659,0.6227934092658524,-0.008321342463122662,-0.005216803869651829,0.4106,1502,0,0,"{""gate_close"": 1502, ""prob_floor"": 717, ""prob_trailing"": 33, ""stop_loss"": 21}",0.264
0.49,0.48,0.1,1,,0.004,,10,965,191,-10.988796468689278,-0.549439823434464,-14.145846113676352,11.009766176033208,0.26583252067425683,-0.011188914501266845,-0.011387353853564012,0.3297,685,0,0,"{""gate_close"": 1114, ""prob_floor"": 502, ""prob_trailing"": 25, ""stop_loss"": 9}",0.264
0.49,0.48,0.1,1,,0.004,0.0075,8,771,207,-4.039421848024685,-0.20197109240123426,-4.123114280101291,4.624239457105778,0.6211741598670905,-0.008321342463122662,-0.005239198246465215,0.41,1498,0,0,"{""gate_close"": 1469, ""prob_floor"": 674, ""prob_trailing"": 31, ""take_profit"": 74, ""stop_loss"": 21}",0.264
0.49,0.48,0.1,1,,0.004,0.0075,10,965,191,-10.988796468689278,-0.549439823434464,-14.145846113676352,11.009766176033208,0.26583252067425683,-0.011188914501266845,-0.011387353853564012,0.3297,685,0,0,"{""gate_close"": 1111, ""prob_floor"": 497, ""prob_trailing"": 25, ""stop_loss"": 9, ""take_profit"": 8}",0.264
0.49,0.48,0.1,1,,0.005,,8,769,205,-4.008631568818402,-0.20043157844092013,-4.095007633413454,4.606973392582659,0.6218550424634638,-0.008460375380914074,-0.005212784874926393,0.4108,1502,0,0,"{""gate_close"": 1508, ""prob_floor"": 717, ""prob_trailing"": 32, ""stop_loss"": 14}",0.264
0.49,0.48,0.1,1,,0.005,,10,963,189,-10.975272254006113,-0.5487636127003056,-14.251414050374017,10.996241961350043,0.26367497288516917,-0.011223090246063685,-0.01139695976532306,0.3299,685,0,0,"{""gate_close"": 1118, ""prob_floor"": 502, ""prob_trailing"": 24, ""stop_loss"": 4}",0.264
0.49,0.48,0.1,1,,0.005,0.0075,8,769,205,-4.025897633341522,-0.2012948816670761,-4.131607782216333,4.624239457105778,0.6202262883303313,-0.008460375380914074,-0.005235237494592349,0.4102,1498,0,0,"{""gate_close"": 1475, ""prob_floor"": 674, ""prob_trailing"": 30, ""take_profit"": 74, ""stop_loss"": 14}",0.264
0.49,0.48,0.1,1,,0.005,0.0075,10,963,189,-10.975272254006113,-0.5487636127003056,-14.251414050374017,10.996241961350043,0.26367497288516917,-0.011223090246063685,-0.01139695976532306,0.3299,685,0,0,"{""gate_close"": 1115, ""prob_floor"": 497, ""prob_trailing"": 24, ""take_profit"": 8, ""stop_loss"": 4}",0.264
0.49,0.48,0.1,1,3600.0,0.004,,8,771,207,-4.0221557835015656,-0.20110778917507827,-4.08684952608331,4.606973392582659,0.6227934092658524,-0.008321342463122662,-0.005216803869651829,0.4106,1502,0,0,"{""gate_close"": 1502, ""prob_floor"": 716, ""prob_trailing"": 33, ""stop_loss"": 21, ""time_limit"": 1}",0.264
0.49,0.48,0.1,1,3600.0,0.004,,10,965,191,-10.988796468689278,-0.549439823434464,-14.145846113676352,11.009766176033208,0.26583252067425683,-0.011188914501266845,-0.011387353853564012,0.3297,685,0,0,"{""gate_close"": 1114, ""prob_floor"": 501, ""prob_trailing"": 25, ""stop_loss"": 9, ""time_limit"": 1}",0.264
0.49,0.48,0.1,1,3600.0,0.004,0.0075,8,771,207,-4.039421848024685,-0.20197109240123426,-4.123114280101291,4.624239457105778,0.6211741598670905,-0.008321342463122662,-0.005239198246465215,0.41,1498,0,0,"{""gate_close"": 1469, ""prob_floor"": 673, ""prob_trailing"": 31, ""take_profit"": 74, ""stop_loss"": 21, ""time_limit"": 1}",0.264
0.49,0.48,0.1,1,3600.0,0.004,0.0075,10,965,191,-10.988796468689278,-0.549439823434464,-14.145846113676352,11.009766176033208,0.26583252067425683,-0.011188914501266845,-0.011387353853564012,0.3297,685,0,0,"{""gate_close"": 1111, ""prob_floor"": 496, ""prob_trailing"": 25, ""stop_loss"": 9, ""take_profit"": 8, ""time_limit"": 1}",0.264
0.49,0.48,0.1,1,3600.0,0.005,,8,769,205,-4.008631568818402,-0.20043157844092013,-4.095007633413454,4.606973392582659,0.6218550424634638,-0.008460375380914074,-0.005212784874926393,0.4108,1502,0,0,"{""gate_close"": 1508, ""prob_floor"": 716, ""prob_trailing"": 32, ""stop_loss"": 14, ""time_limit"": 1}",0.264
