trial_id,model,mean_pnl_net_cv,mean_sharpe_cv,mean_hit_rate_cv,regime_pnl_variance_cv,cost_bps,long_only,min_hold_bars,param_kernel_size,param_channels,param_dropout,param_lr,param_weight_decay,param_batch_size,param_epochs,param_early_stopping_patience,param_max_grad_norm,param_seq_len,param_seq_stride,param_horizon
tcn_trial_000,tcn,-inf,-inf,,,7.5,True,1,7,"32,32",0.0,0.003,0.0001,128,20,5,2.0,32,10,1
tcn_trial_001,tcn,-inf,-inf,,,2.5,False,3,3,"32,32",0.05,0.0003,0.001,128,20,20,0.5,48,10,2
tcn_trial_002,tcn,-inf,-inf,,,2.5,True,1,5,"64,64",0.05,0.0003,0.0001,128,10,20,0.5,48,5,2
tcn_trial_003,tcn,-inf,-inf,,,2.5,False,1,5,"32,32",0.3,0.001,0.001,256,20,3,0.5,64,1,2
tcn_trial_004,tcn,-inf,-inf,,,7.5,False,1,5,"64,64",0.2,0.003,0.0001,128,30,10,0.5,64,5,1
tcn_trial_005,tcn,-inf,-inf,,,5.0,False,1,3,"64,64",0.2,0.001,0.001,128,30,3,0.5,32,5,2
tcn_trial_006,tcn,-inf,-inf,,,7.5,True,3,7,"64,128",0.1,0.0003,0.001,256,40,20,0.5,48,1,1
tcn_trial_007,tcn,-inf,-inf,,,7.5,True,1,7,"64,64",0.1,0.0003,0.0,256,10,3,0.5,32,10,1
tcn_trial_008,tcn,-inf,-inf,,,2.5,True,3,5,"64,64",0.3,0.001,0.001,256,10,3,2.0,64,5,2
tcn_trial_009,tcn,-inf,-inf,,,2.5,True,1,3,"64,64",0.0,0.003,0.001,256,20,3,2.0,48,10,1
tcn_trial_010,tcn,0.0001925911181434,0.1287676056889878,0.683480932181605,7.49592026556227e-07,7.5,True,1,7,"32,32",0.0,0.003,0.0001,128,20,5,2.0,32,10,1
tcn_trial_011,tcn,3.529378851640786,225.3801557443378,0.6852461714482537,2.392667418422116,2.5,False,3,3,"32,32",0.05,0.0003,0.001,128,20,20,0.5,48,10,2
tcn_trial_012,tcn,-0.0008001444581643,,0.6800240368361531,3.201155769655556e-07,7.5,True,1,7,"32,32",0.0,0.003,0.0001,128,20,5,2.0,32,10,1
tcn_trial_013,tcn,3.653618168702821,,0.6820563452637765,2.3536138404098974,2.5,False,3,3,"32,32",0.05,0.0003,0.001,128,20,20,0.5,48,10,2
tcn_trial_014,tcn,-0.0013760329915489,,0.6831511267775897,9.467333969155552e-07,2.5,True,1,5,"64,64",0.05,0.0003,0.0001,128,10,20,0.5,48,5,2
tcn_trial_015,tcn,0.0020286436262562,,0.6806102081645695,1.0291602967215857e-06,7.5,True,1,7,"32,32",0.0,0.003,0.0001,128,5,4,2.0,32,10,1
tcn_trial_016,tcn,-0.0062687540422754,,0.6832388395027237,1.0044137894495038e-05,2.5,True,3,3,"32,32",0.05,0.0003,0.001,128,20,4,2.0,64,10,2
tcn_trial_017,tcn,0.0019320504899809,,0.681485794198875,1.8664095479178056e-06,5.0,True,3,3,"32,32",0.2,0.001,0.0001,128,5,6,0.5,32,5,1
tcn_trial_018,tcn,7.151816440422829,,0.6836875276660304,9.354244806085848,7.5,False,1,3,"64,128",0.2,0.003,0.0,256,5,6,2.0,64,5,1
tcn_trial_019,tcn,0.0,,0.6831559250213757,0.0,5.0,True,1,7,"32,32",0.1,0.0003,0.0,128,10,6,1.0,64,5,1
tcn_trial_020,tcn,-0.0020154880270994596,,0.6804361134570486,1.1027167116141196e-06,7.5,True,1,7,"32,32",0.0,0.003,0.0001,128,5,4,2.0,32,10,1
tcn_trial_021,tcn,-0.0014202148613785934,,0.6828264831804078,1.0085051262403087e-06,2.5,True,3,3,"32,32",0.05,0.0003,0.001,128,20,4,2.0,64,10,2
tcn_trial_022,tcn,0.005964939032066493,,0.6821269783670505,1.1466036893586263e-05,5.0,True,3,3,"32,32",0.2,0.001,0.0001,128,5,6,0.5,32,5,1
tcn_trial_023,tcn,7.161675394427548,,0.6833299591320614,9.379221719231737,7.5,False,1,3,"64,128",0.2,0.003,0.0,256,5,6,2.0,64,5,1
tcn_trial_024,tcn,0.011679989616057452,,0.6837745447213732,6.168587786839376e-05,5.0,True,1,7,"32,32",0.1,0.0003,0.0,128,10,6,1.0,64,5,1
