trial_id,model,mean_pnl_net_cv,mean_sharpe_cv,mean_hit_rate_cv,regime_pnl_variance_cv,cost_bps,long_only,min_hold_bars,param_d_model,param_nhead,param_num_layers,param_dim_feedforward,param_dropout,param_lr,param_weight_decay,param_batch_size,param_epochs,param_early_stopping_patience,param_max_grad_norm,param_seq_len,param_seq_stride,param_horizon
transformer_trial_000,transformer,-inf,-inf,,,7.5,True,1,256,2,1,256,0.2,0.0003,0.0,64,20,2,2.0,64,10,1
transformer_trial_001,transformer,-inf,-inf,,,7.5,True,3,64,2,1,64,0.0,0.0003,0.001,128,5,10,2.0,48,1,1
transformer_trial_002,transformer,-inf,-inf,,,7.5,False,3,128,2,1,128,0.0,0.0001,0.0001,64,10,6,2.0,48,1,2
transformer_trial_003,transformer,-inf,-inf,,,5.0,True,3,64,8,2,256,0.2,0.0003,0.001,64,5,4,1.0,32,1,1
transformer_trial_004,transformer,-inf,-inf,,,2.5,True,3,256,4,1,128,0.2,0.0003,0.001,128,20,2,2.0,64,1,1
transformer_trial_005,transformer,-inf,-inf,,,7.5,True,1,128,8,3,256,0.1,0.001,0.0,64,5,6,1.0,48,1,1
transformer_trial_006,transformer,-inf,-inf,,,5.0,False,1,256,4,2,256,0.3,0.0003,0.0001,64,5,6,2.0,64,5,2
transformer_trial_007,transformer,-inf,-inf,,,7.5,True,3,256,4,1,64,0.0,0.0003,0.001,64,20,10,2.0,32,5,2
transformer_trial_008,transformer,-inf,-inf,,,7.5,True,1,256,2,3,256,0.0,0.001,0.001,128,5,6,1.0,32,5,1
transformer_trial_009,transformer,-inf,-inf,,,2.5,True,3,256,2,3,128,0.1,0.0003,0.0001,64,20,2,2.0,48,5,1
transformer_trial_010,transformer,-0.0008251089716069,,0.6850402335673808,2.820678807927612e-09,7.5,True,1,256,2,1,256,0.2,0.0003,0.0,64,15,2,2.0,64,10,1
transformer_trial_011,transformer,0.0,,0.6816317720939161,0.0,7.5,True,3,64,2,1,64,0.0,0.0003,0.001,128,5,4,2.0,48,1,1
transformer_trial_012,transformer,35.44786570808337,,0.6817909149140122,240.68273196852616,7.5,False,3,128,2,1,128,0.0,0.0001,0.0001,64,10,4,2.0,48,1,2
transformer_trial_013,transformer,0.0438586282805475,,0.6851478494623656,0.0003078041537442,7.5,True,1,256,2,1,256,0.2,0.0003,0.0,64,8,2,2.0,64,10,1
transformer_trial_014,transformer,0.0,,0.6829006146508582,0.0,7.5,True,3,64,2,1,64,0.0,0.0003,0.001,96,3,3,2.0,48,1,1
transformer_trial_015,transformer,41.309830990891975,,0.6829907295445385,316.7257865934528,7.5,False,3,128,2,1,128,0.0,0.0001,0.0001,64,5,3,2.0,48,1,2
transformer_trial_016,transformer,0.0412858871907835,,0.6830685520437981,8.36830642263042e-05,2.5,True,3,64,8,2,256,0.2,0.0003,0.001,64,3,4,0.5,48,1,1
transformer_trial_017,transformer,4.066108233177915,,0.6824437730782141,2.8790599913065,7.5,False,1,128,8,2,64,0.2,0.001,0.0,96,8,4,2.0,32,10,1
transformer_trial_018,transformer,0.0,,0.6804435483870968,0.0,7.5,True,1,256,2,1,256,0.2,0.0003,0.0,64,8,2,2.0,64,10,1
transformer_trial_019,transformer,0.0,,0.6829006146508582,0.0,7.5,True,3,64,2,1,64,0.0,0.0003,0.001,96,3,3,2.0,48,1,1
transformer_trial_020,transformer,41.31473822978845,,0.6829235523310493,317.1234105941364,7.5,False,3,128,2,1,128,0.0,0.0001,0.0001,64,5,3,2.0,48,1,2
transformer_trial_021,transformer,0.0,,0.6829006146508582,0.0,2.5,True,3,64,8,2,256,0.2,0.0003,0.001,64,3,4,0.5,48,1,1
transformer_trial_022,transformer,4.066108233177915,,0.6824437730782141,2.8790599913065,7.5,False,1,128,8,2,64,0.2,0.001,0.0,96,8,4,2.0,32,10,1
transformer_trial_023,transformer,0.0005120308092585,3.0137111953454827,0.6865182160991644,1.9663166222243617e-07,7.5,True,1,256,2,1,256,0.2,0.0003,0.0,64,8,2,2.0,64,10,1
transformer_trial_024,transformer,0.0,0.0,0.6827641132299136,0.0,7.5,True,3,64,2,1,64,0.0,0.0003,0.001,96,3,3,2.0,48,1,1
transformer_trial_025,transformer,0.0,,0.6819312684399577,0.0,7.5,True,1,256,2,1,256,0.2,0.0003,0.0,64,8,2,2.0,64,10,1
transformer_trial_026,transformer,0.002852486189075584,,0.6815359002622952,2.179102612247652e-07,7.5,True,3,64,2,1,64,0.0,0.0003,0.001,96,3,3,2.0,48,1,1
transformer_trial_027,transformer,26.598893610612574,,0.6815348316090155,129.8064894777104,7.5,False,3,128,2,1,128,0.0,0.0001,0.0001,64,5,3,2.0,48,1,2
transformer_trial_028,transformer,0.0,,0.6815127349546599,0.0,2.5,True,3,64,8,2,256,0.2,0.0003,0.001,64,3,4,0.5,48,1,1
transformer_trial_029,transformer,2.624414540679557,,0.6776046242913714,1.2154756314437318,7.5,False,1,128,8,2,64,0.2,0.001,0.0,96,8,4,2.0,32,10,1
