trial_id,model,mean_pnl_net_cv,mean_sharpe_cv,mean_hit_rate_cv,regime_pnl_variance_cv,cost_bps,long_only,min_hold_bars,param_max_depth,param_learning_rate,param_n_estimators,param_subsample,param_colsample_bytree,param_min_child_weight,param_gamma,param_reg_lambda,param_reg_alpha,param_early_stopping_rounds
xgb_trial_000,xgb,-inf,-inf,,,5.0,False,1,3,0.01,800,0.8,0.6,3.0,0.5,0.5,0.0,100
xgb_trial_001,xgb,-inf,-inf,,,7.5,True,1,3,0.03,200,1.0,1.0,1.0,0.5,5.0,0.1,50
xgb_trial_002,xgb,-inf,-inf,,,2.5,True,3,5,0.1,400,0.8,0.6,3.0,1.0,0.5,0.0,50
xgb_trial_003,xgb,-inf,-inf,,,7.5,True,1,7,0.01,800,0.8,1.0,1.0,3.0,0.5,0.5,100
xgb_trial_004,xgb,-inf,-inf,,,5.0,True,1,3,0.01,800,0.6,0.8,1.0,0.5,0.5,1.0,50
xgb_trial_005,xgb,-inf,-inf,,,5.0,True,1,7,0.05,200,1.0,0.8,1.0,0.5,1.0,0.1,50
xgb_trial_006,xgb,-inf,-inf,,,7.5,True,1,7,0.01,200,0.6,0.8,10.0,1.0,0.5,0.1,100
xgb_trial_007,xgb,-inf,-inf,,,7.5,True,3,9,0.1,800,0.8,0.6,5.0,0.5,1.0,0.5,100
xgb_trial_008,xgb,-inf,-inf,,,2.5,True,1,7,0.03,200,1.0,0.8,1.0,0.0,0.5,0.1,100
xgb_trial_009,xgb,-inf,-inf,,,5.0,False,3,9,0.1,800,0.8,1.0,5.0,0.0,0.5,0.5,100
xgb_trial_010,xgb,36.99548348499527,218.19207269254218,0.6629172617849536,272.0570475531415,5.0,False,1,3,0.01,50,0.8,0.6,3.0,0.5,0.5,0.0,100
xgb_trial_011,xgb,0.0,0.0,0.6629172617849536,0.0,7.5,True,1,3,0.03,10,1.0,1.0,1.0,0.5,5.0,0.1,50
xgb_trial_012,xgb,0.005156750303321572,1.2177379227537943,0.6618867349587638,1.9944055268105333e-05,2.5,True,3,5,0.1,25,0.8,0.6,3.0,1.0,0.5,0.0,50
xgb_trial_013,xgb,0.0,0.0,0.663438257929582,0.0,7.5,True,1,7,0.01,50,0.8,1.0,1.0,3.0,0.5,0.5,100
xgb_trial_014,xgb,0.0,0.0,0.6629172617849536,0.0,5.0,True,1,3,0.01,50,0.6,0.8,1.0,0.5,0.5,1.0,50
xgb_trial_015,xgb,0.005811881820262009,1.4125535725152965,0.6622688096590326,2.533347771951904e-05,5.0,True,1,7,0.05,10,1.0,0.8,1.0,0.5,1.0,0.1,50
xgb_trial_016,xgb,0.0,0.0,0.6629172617849536,0.0,7.5,True,1,7,0.01,10,0.6,0.8,10.0,1.0,0.5,0.1,100
xgb_trial_017,xgb,0.0,0.0,0.6624192653519977,0.0,7.5,True,3,9,0.1,50,0.8,0.6,5.0,0.5,1.0,0.5,100
xgb_trial_018,xgb,0.0,0.0,0.6628825178477705,0.0,2.5,True,1,7,0.03,10,1.0,0.8,1.0,0.0,0.5,0.1,100
xgb_trial_019,xgb,36.488452326727405,215.86537218194007,0.6625697427667117,264.6971719100596,5.0,False,3,9,0.1,50,0.8,1.0,5.0,0.0,0.5,0.5,100
