entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,max_spread_bps,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.49,0.48,0.1,1,,0.004,,8,4614,1720,8186880.720538487,81868.80720538487,13.724354963459405,4627.061313630547,32.31719164602485,-96.362824839502,1774.3564630555895,0.56252,6444,0,0,"{""prob_floor"": 2970, ""stop_loss"": 5315, ""prob_trailing"": 450}",0.59076
0.49,0.48,0.1,1,,0.004,,10,5037,2015,10100107.85866846,101001.0785866846,15.290710931362135,3375.4992641955614,37.95175061204606,-96.351416578375,2005.183215935768,0.56624,4408,0,0,"{""prob_floor"": 2900, ""stop_loss"": 4540, ""prob_trailing"": 409}",0.59076
0.49,0.48,0.1,1,,0.004,0.0075,8,7666,3573,18237228.522052255,182372.28522052255,22.47694488198636,4627.061313634738,48.98341525023956,-95.401162900098,2378.975805120303,0.47896,7798,0,0,"{""prob_floor"": 1339, ""stop_loss"": 7192, ""take_profit"": 3610, ""prob_trailing"": 233}",0.59076
0.49,0.48,0.1,1,,0.004,0.0075,10,8747,4293,22278340.00685905,222783.4000685905,24.986774607002918,2893.52205750905,54.78989913395795,-0.022524713804001603,2546.969247382989,0.47448,5428,0,0,"{""prob_floor"": 1166, ""stop_loss"": 6500, ""take_profit"": 4151, ""prob_trailing"": 206}",0.59076
0.49,0.48,0.1,1,,0.005,,8,4608,1720,8189778.7945040185,81897.78794504018,13.729771624516786,4627.061313630547,32.36351622038786,-96.362824839502,1777.295745335074,0.56274,6441,0,0,"{""prob_floor"": 2981, ""stop_loss"": 5291, ""prob_trailing"": 451}",0.59076
0.49,0.48,0.1,1,,0.005,,10,5034,2015,10102961.334639395,101029.61334639395,15.295318566207078,3375.4992641955614,37.988362660774236,-96.3513896606675,2006.9450406514502,0.5664,4400,0,0,"{""prob_floor"": 2907, ""stop_loss"": 4521, ""prob_trailing"": 410}",0.59076
0.49,0.48,0.1,1,,0.005,0.0075,8,7666,3573,18237228.522052255,182372.28522052255,22.47694488198636,4627.061313634738,48.98341525023956,-95.401162900098,2378.975805120303,0.47896,7793,0,0,"{""prob_floor"": 1340, ""stop_loss"": 7186, ""take_profit"": 3610, ""prob_trailing"": 233}",0.59076
0.49,0.48,0.1,1,,0.005,0.0075,10,8746,4292,22278340.011444967,222783.40011444967,24.98687642198104,2893.52205750905,54.78993111775426,-0.02254527610999637,2547.260463234041,0.4745,5422,0,0,"{""prob_floor"": 1168, ""stop_loss"": 6491, ""take_profit"": 4151, ""prob_trailing"": 206}",0.59076
0.49,0.48,0.1,1,3600.0,0.004,,8,4614,1720,8189632.428531861,81896.32428531861,13.729010151605022,4627.061313630547,32.32771772665605,-96.362824839502,1774.952845368848,0.5625,6444,0,0,"{""prob_floor"": 2968, ""stop_loss"": 5302, ""prob_trailing"": 450, ""time_limit"": 15}",0.59076
0.49,0.48,0.1,1,3600.0,0.004,,10,5037,2015,10102859.566661833,101028.59566661833,15.294937457362522,3375.4992641955614,37.961817873599216,-96.351416578375,2005.7295149219449,0.56622,4408,0,0,"{""prob_floor"": 2897, ""stop_loss"": 4540, ""prob_trailing"": 409, ""time_limit"": 3}",0.59076
