month,fires,total,coverage,coverage_bps,coverage_pct,ratio_vs_baseline
2024-01,4,44640,8.960573476702509e-05,0.8960573476702509,0.008960573476702509,0.8145975887911372
2024-02,0,41760,0.0,0.0,0.0,0.0
2024-03,0,44640,0.0,0.0,0.0,0.0
2024-04,0,43200,0.0,0.0,0.0,0.0
2024-05,0,44640,0.0,0.0,0.0,0.0
2024-06,6,43200,0.0001388888888888889,1.3888888888888888,0.013888888888888888,1.2626262626262625
2024-07,0,44640,0.0,0.0,0.0,0.0
2024-08,0,44640,0.0,0.0,0.0,0.0
2024-09,0,43200,0.0,0.0,0.0,0.0
2024-10,0,44640,0.0,0.0,0.0,0.0
2024-11,0,43200,0.0,0.0,0.0,0.0
2024-12,0,44640,0.0,0.0,0.0,0.0
2025-01,0,44640,0.0,0.0,0.0,0.0
2025-02,0,40320,0.0,0.0,0.0,0.0
2025-03,0,44640,0.0,0.0,0.0,0.0
2025-04,0,43200,0.0,0.0,0.0,0.0
2025-05,0,44640,0.0,0.0,0.0,0.0
2025-06,7,43200,0.00016203703703703703,1.6203703703703702,0.016203703703703703,1.473063973063973
2025-07,8,44640,0.00017921146953405018,1.7921146953405018,0.017921146953405017,1.6291951775822744
2025-08,6,44640,0.00013440860215053763,1.3440860215053763,0.013440860215053764,1.2218963831867058
2025-09,0,17279,0.0,0.0,0.0,0.0
