symbol,entry_ts,exit_ts,exit_reason,pnl,hold_minutes,entry_price,exit_price,mfe_pct,mae_pct,exit_return_pct,post_exit_max_return_pct,post_exit_min_return_pct
BTC/USDT,2025-12-29 01:58:00+00:00,2025-12-29 02:02:00+00:00,,0.033673088599999824,4.0,88392.72,88791.13,0.011165851667422233,-0.050857355673634586,0.00450727163956488,0.006628702664331465,-0.05511620361177971
BTC/USDT,2025-12-29 02:07:00+00:00,2025-12-29 02:17:00+00:00,,-0.019141880000000173,10.0,89193.99,89155.9,0.0020820909570251622,-0.05938393382782858,-0.00042704671021009943,0.001994708146067836,-0.058982075218802055
BTC/USDT,2025-12-29 02:34:00+00:00,2025-12-29 02:45:00+00:00,,-0.00035782159999732215,11.0,89095.54,89111.58,0.002371948135675428,-0.0008924127964204942,0.000180031458364871,0.0021915221343846714,-0.0001338771010457318
ETH/USDT,2025-12-29 01:58:00+00:00,2025-12-29 02:03:00+00:00,,0.006993906000000146,5.0,2979.75,2985.61,0.012464132897055169,-0.016300025169896815,0.001966607936907394,0.010476920964225034,-0.01823078030955161
ETH/USDT,2025-12-29 02:08:00+00:00,2025-12-29 02:16:00+00:00,,0.044809476000000986,8.0,3006.57,3014.6,0.00343248286253095,-0.02507508556261795,0.002670817576174711,0.0007463676773038497,-0.02767199628474759
ETH/USDT,2025-12-29 02:22:00+00:00,2025-12-29 02:30:00+00:00,,0.004312332000000982,8.0,3006.27,3008.22,0.0008981229230906607,-0.0021987379709740296,0.0006486443333433289,0.00024931687177143225,-0.0028455365631502305
ETH/USDT,2025-12-29 02:36:00+00:00,2025-12-29 02:44:00+00:00,,-0.002610504000000492,8.0,3000.28,3000.59,0.0024531043769246974,-0.0002066473795779844,0.00010332368978893669,0.0023495379242082226,-0.00019662799649411422
SOL/USDT,2025-12-29 02:09:00+00:00,2025-12-29 02:17:00+00:00,,-0.028405299999999682,8.0,128.95,128.75,0.001783637068631494,-0.005738658394726537,-0.0015509887553314394,0.0033398058252427365,-0.004194174757281455
SOL/USDT,2025-12-29 02:34:00+00:00,2025-12-29 02:46:00+00:00,,0.022697360000001592,12.0,128.78,128.99,0.0031060723714861904,-0.0006988662835843984,0.0016306879950303,0.0014729824017365445,-0.002325761686952532
SOL/USDT,2025-12-29 02:48:00+00:00,2025-12-29 02:51:00+00:00,,-0.014370899999998977,3.0,129.06,129.17,0.0009298000929800487,-0.002866883620021743,0.000852316751898119,7.741735697153196e-05,-0.00371603313462876
