symbol,model,policy_id,timeframe,occurred_at,entry_ts,exit_ts,side,gate_pass,decision,skip_reason,risk_block_reason,risk_clip_reasons,executed,entry_prob,exit_prob,entry_threshold,exit_threshold,exit_reason_primary,exit_reason_all,pnl_gross,pnl_net,pnl_notional,probability,spread_entry_bps,spread_exit_bps,intended_notional,entry_price,exit_price,pnl,hold_minutes
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 02:02:00+00:00,2025-12-29 01:58:00+00:00,2025-12-29 02:02:00+00:00,sell,True,dry_run,dry_run,,,True,0.5656820536,0.6699029207229614,0.56,0.5,take_profit,take_profit,0.03544199999999983,0.033673088599999824,8.844557000000002,0.6699029207229614,0.0011261261889441898,0.0011261261889441898,8.879999000000002,88445.57,88799.99,0.033673088599999824,4.0
ETH/USDT,xgb_primary,primary,1m,2025-12-29 02:03:00+00:00,2025-12-29 01:58:00+00:00,2025-12-29 02:03:00+00:00,sell,True,dry_run,dry_run,,,True,0.5656820536,0.565682053565979,0.51,0.47,take_profit,take_profit,0.007590000000000146,0.006993906000000146,2.98047,0.565682053565979,0.033466474123616044,0.033466474123616044,2.98806,2980.47,2988.06,0.006993906000000146,5.0
ETH/USDT,xgb_primary,primary,1m,2025-12-29 02:16:00+00:00,2025-12-29 02:08:00+00:00,2025-12-29 02:16:00+00:00,sell,True,dry_run,dry_run,,,True,0.6844155788,0.6844155788421631,0.51,0.47,take_profit,take_profit,0.04842000000000098,0.044809476000000986,18.05262,0.6844155788421631,0.03314721173863268,0.03314721173863268,18.10104,3008.77,3016.84,0.044809476000000986,8.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 02:17:00+00:00,2025-12-29 02:09:00+00:00,2025-12-29 02:17:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.565682053565979,0.51,0.47,gate_close,gate_close,-0.026599999999999683,-0.028405299999999682,9.0265,0.565682053565979,20.194174757280848,0.7777561734411298,8.9999,128.95,128.57,-0.028405299999999682,8.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 02:17:00+00:00,2025-12-29 02:07:00+00:00,2025-12-29 02:17:00+00:00,sell,False,dry_run,dry_run,,,True,0.6844155788,0.6076040863990784,0.56,0.5,gate_close,gate_close,-0.017358000000000175,-0.019141880000000173,8.9194,0.6076040863990784,20.15458315153594,0.001123337705336872,8.902042,89194.0,89020.42,-0.019141880000000173,10.0
ETH/USDT,xgb_primary,primary,1m,2025-12-29 02:30:00+00:00,2025-12-29 02:22:00+00:00,2025-12-29 02:30:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,0.007920000000000982,0.004312332000000982,18.038339999999998,0.41829004883766174,0.03324783099383928,0.03324783099383928,18.04626,3006.39,3007.71,0.004312332000000982,8.0
ETH/USDT,xgb_primary,primary,1m,2025-12-29 02:44:00+00:00,2025-12-29 02:36:00+00:00,2025-12-29 02:44:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,0.0027899999999995086,-0.002610504000000492,27.00252,0.41829004883766174,0.033326723532377846,0.033326723532377846,27.005310000000005,3000.28,3000.59,-0.002610504000000492,8.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 02:45:00+00:00,2025-12-29 02:34:00+00:00,2025-12-29 02:45:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.41829004883766174,0.56,0.5,prob_floor,prob_floor,0.0032060000000026776,-0.00035782159999732215,26.728661999999996,0.41829004883766174,0.0011221886713102432,0.0011221886713102432,17.822314000000002,89095.54,89111.57,-0.00035782159999732215,11.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 02:46:00+00:00,2025-12-29 02:34:00+00:00,2025-12-29 02:46:00+00:00,sell,True,dry_run,dry_run,,,True,0.6076040864,0.5002435445785522,0.51,0.47,take_profit,take_profit,0.024500000000001593,0.022697360000001592,9.0132,0.5002435445785522,6.977285060857694,0.7745033497262831,9.037700000000001,128.76,129.11,0.022697360000001592,12.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 02:51:00+00:00,2025-12-29 02:48:00+00:00,2025-12-29 02:51:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.6076040863990784,0.51,0.47,gate_close,gate_close,-0.010499999999998977,-0.014370899999998977,19.354499999999998,0.6076040863990784,10.064256406285939,0.7754041794278218,19.344,129.03,128.96,-0.014370899999998977,3.0
