symbol,model,policy_id,timeframe,occurred_at,entry_ts,exit_ts,side,gate_pass,decision,skip_reason,risk_block_reason,risk_clip_reasons,executed,entry_prob,exit_prob,entry_threshold,exit_threshold,exit_reason_primary,exit_reason_all,pnl_gross,pnl_net,pnl_notional,probability,spread_entry_bps,spread_exit_bps,intended_notional,entry_price,exit_price,pnl,hold_minutes
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 20:35:00+00:00,2025-12-24 20:15:00+00:00,2025-12-24 20:35:00+00:00,sell,False,dry_run,dry_run,,,True,0.5002435446,0.4182900488376617,0.48,0.42,prob_floor,prob_floor,-0.0063999999999998,-0.0083678399999998,9.8392,0.4182900488376617,0.8135703534967349,0.8135703534967349,9.8328,122.99,122.91,-0.0083678399999998,20.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-24 20:46:00+00:00,2025-12-24 20:15:00+00:00,2025-12-24 20:46:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.4182900488376617,0.56,0.43,prob_floor,prob_floor,-0.0046720000000001,-0.0064247068000001,8.763534,0.4182900488376617,5.761333505510186,0.0011417007641475,8.758862,87635.34,87588.62,-0.0064247068000001,31.0
ETH/USDT,xgb_primary,primary,1m,2025-12-24 21:06:00+00:00,2025-12-24 20:14:00+00:00,2025-12-24 21:06:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.565682053565979,0.48,0.41,gate_close,gate_close,-0.0102600000000002,-0.0137976360000002,17.688180000000003,0.565682053565979,2.138246095154172,0.0339405870016496,17.67792,2948.03,2946.32,-0.0137976360000002,52.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-24 21:09:00+00:00,2025-12-24 21:02:00+00:00,2025-12-24 21:09:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.565682053565979,0.56,0.43,gate_close,gate_close,-0.0027990000000005,-0.0045517638000005,8.763819,0.565682053565979,2.5185162869386555,0.0011414195423139,8.76102,87638.19,87610.2,-0.0045517638000005,7.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 21:18:00+00:00,2025-12-24 21:02:00+00:00,2025-12-24 21:18:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.4182900488376617,0.48,0.42,prob_floor,"prob_floor,trailing_prob_drop",-0.0208000000000004,-0.0227667200000004,9.8336,0.4182900488376617,0.8152284677785119,0.8152284677785119,9.8128,122.92,122.66,-0.0227667200000004,16.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-24 21:27:00+00:00,2025-12-24 21:15:00+00:00,2025-12-24 21:27:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.565682053565979,0.56,0.43,gate_close,gate_close,0.0062070000000006,0.0044540288000006,8.764856,0.565682053565979,6.121032300130245,0.001140112598063,8.771063000000002,87648.56,87710.63,0.0044540288000006,12.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 21:29:00+00:00,2025-12-24 21:24:00+00:00,2025-12-24 21:29:00+00:00,sell,False,dry_run,dry_run,,,True,0.5002435446,0.5002435445785522,0.48,0.42,take_profit,"take_profit,gate_close",0.0152000000000009,0.0132366400000009,9.8168,0.5002435445785522,0.81433224755742,0.813636548553021,9.832,122.71,122.9,0.0132366400000009,5.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-24 21:39:00+00:00,2025-12-24 21:29:00+00:00,2025-12-24 21:39:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.565682053565979,0.56,0.43,gate_close,gate_close,0.0075200000000011,0.0057655914000011,8.772043,0.565682053565979,2.2560976165585385,0.0011390087895327,8.779563000000001,87720.43,87795.63,0.0057655914000011,10.0
ETH/USDT,xgb_primary,primary,1m,2025-12-24 21:40:00+00:00,2025-12-24 21:15:00+00:00,2025-12-24 21:40:00+00:00,sell,True,dry_run,dry_run,,,True,0.5656820536,0.6076040863990784,0.48,0.41,take_profit,take_profit,0.0277800000000006,0.0242431560000006,17.68422,0.6076040863990784,0.0338752813772953,0.0338752813772953,17.712,2947.37,2952.0,0.0242431560000006,25.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-24 21:51:00+00:00,2025-12-24 21:41:00+00:00,2025-12-24 21:51:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.4182900488376617,0.56,0.43,prob_floor,prob_floor,-0.0080649999999994,-0.0098205845999994,8.777923,0.4182900488376617,3.0053495221500897,0.0011402692523216,8.769858000000001,87779.23,87698.58,-0.0098205845999994,10.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 21:55:00+00:00,2025-12-24 21:33:00+00:00,2025-12-24 21:55:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.4182900488376617,0.48,0.42,prob_floor,"prob_floor,trailing_prob_drop",0.0031999999999993,0.0012332799999993,9.8336,0.4182900488376617,0.8134049129660904,0.8132395397068365,9.8368,122.92,122.96,0.0012332799999993,22.0
ETH/USDT,xgb_primary,primary,1m,2025-12-24 21:55:00+00:00,2025-12-24 21:42:00+00:00,2025-12-24 21:55:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.4182900488376617,0.48,0.41,prob_trailing,trailing_prob_drop,-0.0229200000000009,-0.0264628320000009,17.71416,0.4182900488376617,0.0339150326693955,0.0339150326693955,17.69124,2952.36,2948.54,-0.0264628320000009,13.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 22:07:00+00:00,2025-12-24 22:00:00+00:00,2025-12-24 22:07:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.565682053565979,0.48,0.42,gate_close,gate_close,0.0063999999999998,0.0044318399999998,9.8408,0.565682053565979,7.309941520468113,0.812380681586653,9.8472,123.01,123.09,0.0044318399999998,7.0
ETH/USDT,xgb_primary,primary,1m,2025-12-24 22:09:00+00:00,2025-12-24 22:01:00+00:00,2025-12-24 22:09:00+00:00,sell,True,dry_run,dry_run,,,True,0.5656820536,0.6076040863990784,0.48,0.41,take_profit,take_profit,0.039,0.035457612,17.71194,0.6076040863990784,0.0338009697505599,0.0338009697505599,17.75094,2951.99,2958.49,0.035457612,8.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-24 22:13:00+00:00,2025-12-24 22:08:00+00:00,2025-12-24 22:13:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.6076040863990784,0.56,0.43,gate_close,gate_close,-0.0038339999999996,-0.0055909657999996,8.784829,0.6076040863990784,5.8013033124225935,0.0011388230422522,8.780995,87848.29,87809.95,-0.0055909657999996,5.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 22:15:00+00:00,2025-12-24 22:10:00+00:00,2025-12-24 22:15:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.565682053565979,0.48,0.42,gate_close,gate_close,-0.0095999999999992,-0.0115718399999992,9.8592,0.565682053565979,3.2475440448166157,0.8121827411160126,9.8496,123.24,123.12,-0.0115718399999992,5.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 22:25:00+00:00,2025-12-24 22:20:00+00:00,2025-12-24 22:25:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.4182900488376617,0.48,0.42,prob_floor,"prob_floor,trailing_prob_drop",-0.0023999999999989,-0.0043691199999989,9.8456,0.4182900488376617,0.8127107968621972,0.8127107968621972,9.8432,123.07,123.04,-0.0043691199999989,5.0
ETH/USDT,xgb_primary,primary,1m,2025-12-24 22:25:00+00:00,2025-12-24 22:12:00+00:00,2025-12-24 22:25:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.4182900488376617,0.48,0.41,prob_trailing,trailing_prob_drop,-0.0255,-0.029047272,17.73636,0.4182900488376617,0.033877461833544,0.033877461833544,17.71086,2956.06,2951.81,-0.029047272,13.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-24 22:28:00+00:00,2025-12-24 22:20:00+00:00,2025-12-24 22:28:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.4182900488376617,0.56,0.43,prob_floor,prob_floor,-0.0017399999999994,-0.0034960735999994,8.780368,0.4182900488376617,0.0011391301038381,0.0011391301038381,8.778628,87803.68,87786.28,-0.0034960735999994,8.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 22:38:00+00:00,2025-12-24 22:33:00+00:00,2025-12-24 22:38:00+00:00,sell,False,dry_run,dry_run,,,True,0.5002435446,0.6076040863990784,0.48,0.42,gate_close,gate_close,0.0016000000000008,-0.0003700799999991,9.8504,0.6076040863990784,7.299270072992978,0.8119848970801757,9.852,123.13,123.15,-0.0003700799999991,5.0
ETH/USDT,xgb_primary,primary,1m,2025-12-24 22:41:00+00:00,2025-12-24 22:34:00+00:00,2025-12-24 22:41:00+00:00,sell,True,dry_run,dry_run,,,True,0.5656820536,0.6076040863990784,0.48,0.41,take_profit,take_profit,0.0214199999999982,0.0178727399999982,17.7363,0.6076040863990784,0.0337880643670001,0.0337880643670001,17.75772,2956.05,2959.62,0.0178727399999982,7.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 22:51:00+00:00,2025-12-24 22:42:00+00:00,2025-12-24 22:51:00+00:00,sell,False,dry_run,dry_run,,,True,0.587852478,0.5002435445785522,0.48,0.42,gate_close,gate_close,0.0008000000000004,-0.0011715199999995,9.8576,0.5002435445785522,9.73788850117703,0.8114577839080541,9.8584,123.22,123.23,-0.0011715199999995,9.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 22:59:00+00:00,2025-12-24 22:53:00+00:00,2025-12-24 22:59:00+00:00,sell,False,dry_run,dry_run,,,True,0.5002435446,0.5002435445785522,0.48,0.42,gate_close,gate_close,-0.004799999999999,-0.006773119999999,9.8656,0.5002435445785522,4.865785418863212,0.8112602928642278,9.8608,123.32,123.26,-0.006773119999999,6.0
ETH/USDT,xgb_primary,primary,1m,2025-12-24 23:02:00+00:00,2025-12-24 22:44:00+00:00,2025-12-24 23:02:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.4182900488376617,0.48,0.41,prob_trailing,trailing_prob_drop,-0.0074399999999986,-0.0109910879999986,17.75544,0.4182900488376617,0.0338065689551514,0.0338065689551514,17.748,2959.24,2958.0,-0.0109910879999986,18.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 23:21:00+00:00,2025-12-24 23:16:00+00:00,2025-12-24 23:21:00+00:00,sell,False,dry_run,dry_run,,,True,0.5002435446,0.4182900488376617,0.48,0.42,prob_floor,prob_floor,-0.0063999999999998,-0.0083687999999998,9.844,0.4182900488376617,4.879238838741341,0.8131734092299343,9.8376,123.05,122.97,-0.0083687999999998,5.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 23:50:00+00:00,2025-12-24 23:39:00+00:00,2025-12-24 23:50:00+00:00,sell,False,dry_run,dry_run,,,True,0.5002435446,0.4182900488376617,0.48,0.42,prob_floor,prob_floor,-0.0024,-0.00436352,9.8176,0.4182900488376617,0.8150291372920753,0.8150291372920753,9.8152,122.72,122.69,-0.00436352,11.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 00:22:00+00:00,2025-12-25 00:14:00+00:00,2025-12-25 00:22:00+00:00,sell,False,dry_run,dry_run,,,True,0.5002435446,0.565682053565979,0.48,0.42,gate_close,gate_close,0.0027999999999997,0.0018196799999997,4.9016,0.565682053565979,5.711954304365008,0.8155609020107749,4.9044,122.54,122.61,0.0018196799999997,8.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 00:30:00+00:00,2025-12-25 00:25:00+00:00,2025-12-25 00:30:00+00:00,sell,False,dry_run,dry_run,,,True,0.5002435446,0.4182900488376617,0.48,0.42,prob_floor,prob_floor,0.0048000000000001,0.0028412800000001,9.7936,0.4182900488376617,1.6341204346757106,0.8164265012034866,9.7984,122.42,122.48,0.0028412800000001,5.0
ETH/USDT,xgb_primary,primary,1m,2025-12-25 00:46:00+00:00,2025-12-24 23:16:00+00:00,2025-12-25 00:46:00+00:00,sell,False,dry_run,dry_run,,,True,0.5002435446,0.4182900488376617,0.48,0.41,time_limit,time_exit,-0.0694800000000022,-0.0730269120000022,17.734560000000002,0.4182900488376617,0.0339652569394188,0.0339652569394188,17.66508,2955.76,2944.18,-0.0730269120000022,90.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 01:14:00+00:00,2025-12-25 01:06:00+00:00,2025-12-25 01:14:00+00:00,sell,True,dry_run,dry_run,,,True,0.5002435446,0.565682053565979,0.48,0.42,take_profit,take_profit,0.0112,0.00924448,9.7776,0.565682053565979,0.8172271482862841,0.8172271482862841,9.7888,122.22,122.36,0.00924448,8.0
ETH/USDT,xgb_primary,primary,1m,2025-12-25 01:19:00+00:00,2025-12-25 00:53:00+00:00,2025-12-25 01:19:00+00:00,sell,True,dry_run,dry_run,,,True,0.5002435446,0.6076040863990784,0.48,0.41,take_profit,take_profit,0.021,0.01746888,17.6556,0.6076040863990784,0.0339431215120244,0.0339431215120244,17.6766,2942.6,2946.1,0.01746888,26.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 01:26:00+00:00,2025-12-25 01:20:00+00:00,2025-12-25 01:26:00+00:00,sell,True,dry_run,dry_run,,,True,0.5656820536,0.6076040863990784,0.48,0.42,take_profit,take_profit,0.0136000000000001,0.0116422400000001,9.7888,0.6076040863990784,3.2658393207059313,0.8160933610809251,9.8024,122.36,122.53,0.0116422400000001,6.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 01:36:00+00:00,2025-12-25 01:28:00+00:00,2025-12-25 01:36:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.4182900488376617,0.48,0.42,prob_floor,"prob_floor,trailing_prob_drop",-0.0143999999999994,-0.0163603199999994,9.8016,0.4182900488376617,3.2703785463160857,0.8173607421628105,9.7872,122.52,122.34,-0.0163603199999994,8.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 01:49:00+00:00,2025-12-25 01:42:00+00:00,2025-12-25 01:49:00+00:00,sell,True,dry_run,dry_run,,,True,0.5002435446,0.6076040863990784,0.48,0.42,take_profit,take_profit,0.0127999999999997,0.0108382399999997,9.8088,0.6076040863990784,0.8144980655675109,0.8144980655675109,9.8216,122.61,122.77,0.0108382399999997,7.0
ETH/USDT,xgb_primary,primary,1m,2025-12-25 01:50:00+00:00,2025-12-25 01:21:00+00:00,2025-12-25 01:50:00+00:00,sell,True,dry_run,dry_run,,,True,0.5656820536,0.6076040863990784,0.48,0.41,take_profit,take_profit,0.0256799999999984,0.0221439479999984,17.68026,0.6076040863990784,0.0338868754444459,0.0338868754444459,17.70594,2946.71,2950.99,0.0221439479999984,29.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 02:00:00+00:00,2025-12-25 01:52:00+00:00,2025-12-25 02:00:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.4182900488376617,0.48,0.42,prob_floor,"prob_floor,trailing_prob_drop",-0.0080000000000006,-0.0099627200000006,9.8136,0.4182900488376617,10.598402087070738,0.8158270446669481,9.8056,122.67,122.57,-0.0099627200000006,8.0
ETH/USDT,xgb_primary,primary,1m,2025-12-25 02:02:00+00:00,2025-12-25 01:52:00+00:00,2025-12-25 02:02:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.4182900488376617,0.48,0.41,prob_trailing,trailing_prob_drop,-0.0279599999999991,-0.0314992439999991,17.69622,0.4182900488376617,0.0339591437533463,0.0339591437533463,17.66826,2949.37,2944.71,-0.0314992439999991,10.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 02:21:00+00:00,2025-12-25 02:15:00+00:00,2025-12-25 02:21:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.5878524780273438,0.48,0.42,gate_close,gate_close,0.0015999999999996,-0.0003641600000003,9.8208,0.5878524780273438,4.887983706721163,0.8144317302606275,9.8224,122.76,122.78,-0.0003641600000003,6.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 02:30:00+00:00,2025-12-25 02:23:00+00:00,2025-12-25 02:30:00+00:00,sell,True,dry_run,dry_run,,,True,0.6076040864,0.565682053565979,0.48,0.42,take_profit,take_profit,0.0103999999999996,0.0084364799999996,9.8176,0.565682053565979,0.8139676854833029,0.8139676854833029,9.828,122.72,122.85,0.0084364799999996,7.0
ETH/USDT,xgb_primary,primary,1m,2025-12-25 02:36:00+00:00,2025-12-25 02:12:00+00:00,2025-12-25 02:36:00+00:00,sell,False,dry_run,dry_run,,,True,0.5002435446,0.5002435445785522,0.48,0.41,gate_close,gate_close,0.0078599999999996,0.0043214879999996,17.69256,0.5002435445785522,4.135747434650969,0.0338974432845386,17.70042,2948.76,2950.07,0.0043214879999996,24.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 02:38:00+00:00,2025-12-25 02:32:00+00:00,2025-12-25 02:38:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.565682053565979,0.48,0.42,gate_close,gate_close,-0.0007999999999992,-0.0027660799999992,9.8304,0.565682053565979,2.442201237382053,0.8138351983715895,9.8296,122.88,122.87,-0.0027660799999992,6.0
ETH/USDT,xgb_primary,primary,1m,2025-12-25 02:45:00+00:00,2025-12-25 02:38:00+00:00,2025-12-25 02:45:00+00:00,sell,True,dry_run,dry_run,,,True,0.5656820536,0.6076040863990784,0.48,0.41,take_profit,take_profit,0.0236399999999976,0.0200993399999976,17.703300000000002,0.6076040863990784,1.6914463557788264,0.0338467318449287,17.72694,2950.55,2954.49,0.0200993399999976,7.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 02:51:00+00:00,2025-12-25 02:45:00+00:00,2025-12-25 02:51:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.6076040863990784,0.48,0.42,gate_close,gate_close,0.0,-0.00196864,9.8432,0.6076040863990784,2.438627865387834,0.8127107968621972,9.8432,123.04,123.04,-0.00196864,6.0
ETH/USDT,xgb_primary,primary,1m,2025-12-25 02:57:00+00:00,2025-12-25 02:47:00+00:00,2025-12-25 02:57:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.4182900488376617,0.48,0.41,prob_trailing,trailing_prob_drop,-0.0115199999999977,-0.0150653639999977,17.72682,0.4182900488376617,0.0338689711106601,0.0338689711106601,17.715300000000003,2954.47,2952.55,-0.0150653639999977,10.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 03:00:00+00:00,2025-12-25 02:53:00+00:00,2025-12-25 03:00:00+00:00,sell,False,dry_run,dry_run,,,True,0.587852478,0.4182900488376617,0.48,0.42,prob_floor,"prob_floor,trailing_prob_drop",-0.0055999999999994,-0.0075683199999994,9.8416,0.4182900488376617,3.251768148930334,0.8133056809394417,9.836,123.02,122.95,-0.0075683199999994,7.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 03:10:00+00:00,2025-12-25 03:05:00+00:00,2025-12-25 03:10:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.4182900488376617,0.48,0.42,prob_floor,"prob_floor,trailing_prob_drop",0.0039999999999997,0.0020331199999997,9.8344,0.4182900488376617,8.134049129656281,0.8131072895061109,9.8384,122.93,122.98,0.0020331199999997,5.0
