symbol,model,policy_id,timeframe,occurred_at,entry_ts,exit_ts,side,gate_pass,decision,skip_reason,risk_block_reason,risk_clip_reasons,executed,entry_prob,exit_prob,entry_threshold,exit_threshold,exit_reason_primary,exit_reason_all,pnl_gross,pnl_net,pnl_notional,probability,spread_entry_bps,spread_exit_bps,intended_notional,entry_price,exit_price,pnl,hold_minutes
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 20:35:00+00:00,2025-12-24 20:15:00+00:00,2025-12-24 20:35:00+00:00,sell,False,dry_run,dry_run,,,True,0.5002435446,0.41829004883766174,0.48,0.42,prob_floor,prob_floor,-0.006399999999999864,-0.008367839999999864,9.8392,0.41829004883766174,0.8135703534967349,0.8135703534967349,9.8328,122.99,122.91,-0.008367839999999864,20.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-24 20:46:00+00:00,2025-12-24 20:15:00+00:00,2025-12-24 20:46:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.41829004883766174,0.56,0.43,prob_floor,prob_floor,-0.004672000000000117,-0.006424706800000117,8.763534,0.41829004883766174,5.761333505510186,0.0011417007641475393,8.758862,87635.34,87588.62,-0.006424706800000117,31.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 21:02:00+00:00,,2025-12-24 21:02:00+00:00,buy,True,dry_run,dry_run,,exchange_qty_step,True,0.565682053565979,0.565682053565979,,0.48,dry_run,,,,,0.565682053565979,0.8135703534967349,,9.8336,,122.92,0.0,
BTC/USDT,xgb_primary,conservative,1m,2025-12-24 21:02:00+00:00,,2025-12-24 21:02:00+00:00,buy,True,dry_run,dry_run,,exchange_qty_step,True,0.565682053565979,0.565682053565979,,0.56,dry_run,,,,,0.565682053565979,0.001141055124465805,,8.763819,,87638.19,0.0,
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 21:03:00+00:00,2025-12-24 21:02:00+00:00,2025-12-24 21:03:00+00:00,sell,False,min_hold,min_hold,,,False,0.5656820536,0.565682053565979,0.48,0.42,gate_close,gate_close,-0.0008000000000004093,-0.003566752542814959,9.8336,0.565682053565979,4.881620698071945,0.8135703534967349,,122.92,122.91,-0.003566752542814959,1.0
ETH/USDT,xgb_primary,primary,1m,2025-12-24 21:06:00+00:00,2025-12-24 20:14:00+00:00,2025-12-24 21:06:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.565682053565979,0.48,0.41,gate_close,gate_close,-0.010260000000000219,-0.013797636000000219,17.688180000000003,0.565682053565979,2.138246095154172,0.03394058700164962,17.67792,2948.03,2946.32,-0.013797636000000219,52.0
ETH/USDT,xgb_primary,primary,1m,2025-12-24 21:07:00+00:00,,2025-12-24 21:07:00+00:00,buy,True,cooldown_after_loss,cooldown_after_loss,cooldown_after_loss,,False,0.565682053565979,0.565682053565979,,0.48,cooldown_after_loss,,,,,0.565682053565979,,,20.0,,2946.07,0.0,
ETH/USDT,xgb_primary,primary,1m,2025-12-24 21:09:00+00:00,,2025-12-24 21:09:00+00:00,buy,True,cooldown_after_loss,cooldown_after_loss,cooldown_after_loss,,False,0.565682053565979,0.565682053565979,,0.48,cooldown_after_loss,,,,,0.565682053565979,,,20.0,,2944.62,0.0,
BTC/USDT,xgb_primary,conservative,1m,2025-12-24 21:09:00+00:00,2025-12-24 21:02:00+00:00,2025-12-24 21:09:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.565682053565979,0.56,0.43,gate_close,gate_close,-0.002799000000000524,-0.0045517638000005245,8.763819,0.565682053565979,2.5185162869386555,0.0011414195423139605,8.76102,87638.19,87610.2,-0.0045517638000005245,7.0
ETH/USDT,xgb_primary,primary,1m,2025-12-24 21:11:00+00:00,,2025-12-24 21:11:00+00:00,buy,True,cooldown_after_loss,cooldown_after_loss,cooldown_after_loss,,False,0.565682053565979,0.565682053565979,,0.48,cooldown_after_loss,,,,,0.565682053565979,,,20.0,,2944.25,0.0,
BTC/USDT,xgb_primary,conservative,1m,2025-12-24 21:11:00+00:00,,2025-12-24 21:11:00+00:00,buy,True,cooldown_after_loss,cooldown_after_loss,cooldown_after_loss,,False,0.565682053565979,0.565682053565979,,0.56,cooldown_after_loss,,,,,0.565682053565979,,,15.0,,87630.95,0.0,
BTC/USDT,xgb_primary,conservative,1m,2025-12-24 21:12:00+00:00,,2025-12-24 21:12:00+00:00,buy,True,cooldown_after_loss,cooldown_after_loss,cooldown_after_loss,,False,0.565682053565979,0.565682053565979,,0.56,cooldown_after_loss,,,,,0.565682053565979,,,15.0,,87648.56,0.0,
ETH/USDT,xgb_primary,primary,1m,2025-12-24 21:12:00+00:00,,2025-12-24 21:12:00+00:00,buy,True,cooldown_after_loss,cooldown_after_loss,cooldown_after_loss,,False,0.565682053565979,0.565682053565979,,0.48,cooldown_after_loss,,,,,0.565682053565979,,,20.0,,2946.86,0.0,
ETH/USDT,xgb_primary,primary,1m,2025-12-24 21:13:00+00:00,,2025-12-24 21:13:00+00:00,buy,True,cooldown_after_loss,cooldown_after_loss,cooldown_after_loss,,False,0.5878524780273438,0.5878524780273438,,0.48,cooldown_after_loss,,,,,0.5878524780273438,,,20.0,,2946.86,0.0,
BTC/USDT,xgb_primary,conservative,1m,2025-12-24 21:13:00+00:00,,2025-12-24 21:13:00+00:00,buy,True,cooldown_after_loss,cooldown_after_loss,cooldown_after_loss,,False,0.565682053565979,0.565682053565979,,0.56,cooldown_after_loss,,,,,0.565682053565979,,,15.0,,87648.56,0.0,
ETH/USDT,xgb_primary,primary,1m,2025-12-24 21:15:00+00:00,,2025-12-24 21:15:00+00:00,buy,True,dry_run,dry_run,,exchange_qty_step,True,0.565682053565979,0.565682053565979,,0.48,dry_run,,,,,0.565682053565979,0.033928610809192385,,17.68422,,2947.37,0.0,
BTC/USDT,xgb_primary,conservative,1m,2025-12-24 21:15:00+00:00,,2025-12-24 21:15:00+00:00,buy,True,dry_run,dry_run,,exchange_qty_step,True,0.565682053565979,0.565682053565979,,0.56,dry_run,,,,,0.565682053565979,0.001140920120675271,,8.764856,,87648.56,0.0,
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 21:18:00+00:00,2025-12-24 21:02:00+00:00,2025-12-24 21:18:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.41829004883766174,0.48,0.42,prob_floor,"prob_floor,trailing_prob_drop",-0.02080000000000041,-0.022766720000000407,9.8336,0.41829004883766174,0.8152284677785119,0.8152284677785119,9.8128,122.92,122.66,-0.022766720000000407,16.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-24 21:24:00+00:00,,2025-12-24 21:24:00+00:00,buy,True,dry_run,dry_run,,exchange_qty_step,True,0.5002435445785522,0.5002435445785522,,0.48,dry_run,,,,,0.5002435445785522,0.8149627154550267,,9.816799999999999,,122.71,0.0,
