symbol,model,policy_id,timeframe,occurred_at,entry_ts,exit_ts,side,gate_pass,decision,skip_reason,risk_block_reason,risk_clip_reasons,executed,entry_prob,exit_prob,entry_threshold,exit_threshold,exit_reason_primary,exit_reason_all,pnl_gross,pnl_net,pnl_notional,probability,spread_entry_bps,spread_exit_bps,intended_notional,entry_price,exit_price,pnl,hold_minutes
SOL/USDT,xgb_primary,conservative,1m,2025-12-30 02:08:00.096884+00:00,2025-12-30 00:38:00+00:00,2025-12-30 02:08:00.096884+00:00,sell,True,dry_run,dry_run,,,True,0.7496490713,0.7865885730177826,0.78,0.73,time_limit,time_exit,-0.01599999999999909,-0.01993663999999909,19.6832,0.7865885730177826,0.8135041692092834,0.8135041692092834,19.6672,123.02,122.92,-0.01993663999999909,90.00161473333333
ETH/USDT,xgb_primary,primary,1m,2025-12-30 03:15:00+00:00,2025-12-30 00:44:00+00:00,2025-12-30 03:15:00+00:00,sell,True,dry_run,dry_run,,,True,0.7705444093,0.5088735888221048,0.7,0.65,stop_loss,stop_loss,-0.15800000000000183,-0.16387188000000183,29.3594,0.5088735888221048,3.6949099194643997,0.034244874827168786,29.2014,2935.94,2920.14,-0.16387188000000183,151.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-30 03:48:09.108056+00:00,2025-12-30 02:18:00+00:00,2025-12-30 03:48:09.108056+00:00,sell,True,dry_run,dry_run,,,True,0.786588573,0.7835974450499481,0.78,0.73,time_limit,time_exit,0.1319999999999993,0.12609071999999932,29.5464,0.7835974450499481,0.8086362349901036,0.8086362349901036,29.678399999999996,123.11,123.66,0.12609071999999932,90.15180093333333
BTC/USDT,xgb_primary,conservative,1m,2025-12-30 04:53:02.460846+00:00,2025-12-30 03:23:00+00:00,2025-12-30 04:53:02.460846+00:00,sell,True,dry_run,dry_run,,,True,0.7496490713,0.607819293923519,0.64,0.59,time_limit,time_exit,0.038954000000000814,0.03546735080000082,17.433246,0.607819293923519,0.001144675475603939,0.001144675475603939,17.4722,87166.23,87361.0,0.03546735080000082,90.0410141
SOL/USDT,xgb_primary,conservative,1m,2025-12-30 05:21:01.650055+00:00,2025-12-30 03:51:00+00:00,2025-12-30 05:21:01.650055+00:00,sell,True,dry_run,dry_run,,,True,0.786588573,0.7496490712553925,0.78,0.73,time_limit,time_exit,-0.004799999999999045,-0.010735679999999043,29.678399999999996,0.7496490712553925,0.8087670346560811,0.8087670346560811,29.6736,123.66,123.64,-0.010735679999999043,90.02750091666667
ETH/USDT,xgb_primary,primary,1m,2025-12-30 07:20:03.939147+00:00,2025-12-30 03:20:00+00:00,2025-12-30 07:20:03.939147+00:00,sell,True,dry_run,dry_run,,,True,0.7167559827,0.7705444093138643,0.7,0.65,time_limit,time_exit,0.14263999999999943,0.13794988799999944,23.450560000000003,0.7705444093138643,0.03390801771952824,0.03390801771952824,23.5932,2931.32,2949.15,0.13794988799999944,240.06565245
BTC/USDT,xgb_primary,conservative,1m,2025-12-30 07:58:02.925850+00:00,2025-12-30 06:28:00+00:00,2025-12-30 07:58:02.925850+00:00,sell,True,dry_run,dry_run,,,True,0.7167559827,0.5088735888221048,0.64,0.59,time_limit,time_exit,0.025458000000001632,0.021962924000001632,17.47538,0.5088735888221048,0.0011428023530484807,0.0011428023530484807,17.500838,87376.9,87504.19,0.021962924000001632,90.04876416666666
SOL/USDT,xgb_primary,conservative,1m,2025-12-30 08:15:07.911682+00:00,2025-12-30 06:45:00+00:00,2025-12-30 08:15:07.911682+00:00,sell,False,dry_run,dry_run,,,True,0.786588573,0.7865885730177826,0.78,0.73,time_limit,time_exit,0.24240000000000123,0.23644992000000123,29.7504,0.7865885730177826,0.8001600320068106,0.8002240627379759,29.9928,123.96,124.96,0.23644992000000123,90.13186136666667
BTC/USDT,xgb_primary,conservative,1m,2025-12-30 09:35:05.963695+00:00,2025-12-30 08:05:00+00:00,2025-12-30 09:35:05.963695+00:00,sell,True,dry_run,dry_run,,,True,0.7167559827,0.7496490712553925,0.64,0.59,time_limit,time_exit,0.012595999999999186,0.009088835599999186,17.535822,0.7496490712553925,0.0011397038114160855,0.0011397038114160855,17.548418,87679.11,87742.09,0.009088835599999186,90.09939491666667
SOL/USDT,xgb_primary,conservative,1m,2025-12-30 10:05:06.716180+00:00,2025-12-30 08:35:00+00:00,2025-12-30 10:05:06.716180+00:00,sell,True,dry_run,dry_run,,,True,0.783597445,0.5171299004822635,0.78,0.73,time_limit,time_exit,0.04800000000000068,0.04201920000000068,29.903999999999996,0.5171299004822635,0.8012499499222879,0.8012499499222879,29.951999999999998,124.6,124.8,0.04201920000000068,90.11193633333333
