symbol,model,policy_id,timeframe,occurred_at,entry_ts,exit_ts,side,gate_pass,decision,skip_reason,risk_block_reason,risk_clip_reasons,executed,entry_prob,exit_prob,entry_threshold,exit_threshold,exit_reason_primary,exit_reason_all,pnl_gross,pnl_net,pnl_notional,probability,spread_entry_bps,spread_exit_bps,intended_notional,entry_price,exit_price,pnl,hold_minutes
ETH/USDT,xgb_primary,primary,1m,2025-12-30 03:15:00+00:00,2025-12-30 00:44:00+00:00,2025-12-30 03:15:00+00:00,sell,True,dry_run,dry_run,,,True,0.7705444093,0.5088735888221048,0.7,0.65,stop_loss,stop_loss,-0.15800000000000183,-0.16387188000000183,29.3594,0.5088735888221048,3.6949099194643997,0.034244874827168786,29.2014,2935.94,2920.14,-0.16387188000000183,151.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-30 04:53:02.460846+00:00,2025-12-30 03:23:00+00:00,2025-12-30 04:53:02.460846+00:00,sell,True,dry_run,dry_run,,,True,0.7496490713,0.607819293923519,0.64,0.59,time_limit,time_exit,0.038954000000000814,0.03546735080000082,17.433246,0.607819293923519,0.001144675475603939,0.001144675475603939,17.4722,87166.23,87361.0,0.03546735080000082,90.0410141
ETH/USDT,xgb_primary,primary,1m,2025-12-30 07:20:03.939147+00:00,2025-12-30 03:20:00+00:00,2025-12-30 07:20:03.939147+00:00,sell,True,dry_run,dry_run,,,True,0.7167559827,0.7705444093138643,0.7,0.65,time_limit,time_exit,0.14263999999999943,0.13794988799999944,23.450560000000003,0.7705444093138643,0.03390801771952824,0.03390801771952824,23.5932,2931.32,2949.15,0.13794988799999944,240.06565245
BTC/USDT,xgb_primary,conservative,1m,2025-12-30 07:58:02.925850+00:00,2025-12-30 06:28:00+00:00,2025-12-30 07:58:02.925850+00:00,sell,True,dry_run,dry_run,,,True,0.7167559827,0.5088735888221048,0.64,0.59,time_limit,time_exit,0.025458000000001632,0.021962924000001632,17.47538,0.5088735888221048,0.0011428023530484807,0.0011428023530484807,17.500838,87376.9,87504.19,0.021962924000001632,90.04876416666666
BTC/USDT,xgb_primary,conservative,1m,2025-12-30 09:35:05.963695+00:00,2025-12-30 08:05:00+00:00,2025-12-30 09:35:05.963695+00:00,sell,True,dry_run,dry_run,,,True,0.7167559827,0.7496490712553925,0.64,0.59,time_limit,time_exit,0.012595999999999186,0.009088835599999186,17.535822,0.7496490712553925,0.0011397038114160855,0.0011397038114160855,17.548418,87679.11,87742.09,0.009088835599999186,90.09939491666667
BTC/USDT,xgb_primary,conservative,1m,2025-12-30 11:13:04.811811+00:00,2025-12-30 09:43:00+00:00,2025-12-30 11:13:04.811811+00:00,sell,True,dry_run,dry_run,,,True,0.7496490713,0.7234584866127928,0.64,0.59,time_limit,time_exit,0.03717200000000012,0.03365867680000012,17.566616,0.7234584866127928,0.001136119047412044,0.001136119047412044,17.603788,87833.08,88018.94,0.03365867680000012,90.08019685
ETH/USDT,xgb_primary,primary,1m,2025-12-30 11:34:03.702430+00:00,2025-12-30 07:34:00+00:00,2025-12-30 11:34:03.702430+00:00,sell,True,dry_run,dry_run,,,True,0.7577704187,0.35465581770467824,0.7,0.65,time_limit,time_exit,0.23967999999999665,0.23496238399999664,23.58808,0.35465581770467824,0.03357422842299593,0.03357422842299593,23.827759999999998,2948.51,2978.47,0.23496238399999664,240.06170716666665
BTC/USDT,xgb_primary,conservative,1m,2025-12-30 12:46:04.704392+00:00,2025-12-30 11:16:00+00:00,2025-12-30 12:46:04.704392+00:00,sell,True,dry_run,dry_run,,,True,0.6841316056,0.7496490712553925,0.64,0.59,time_limit,time_exit,-0.0063019999999989525,-0.009823054399998952,17.605272,0.7496490712553925,0.00113643007818597,0.00113643007818597,17.59897,88026.36,87994.85,-0.009823054399998952,90.07840653333332
ETH/USDT,xgb_primary,primary,1m,2025-12-30 14:30:00+00:00,2025-12-30 12:07:00+00:00,2025-12-30 14:30:00+00:00,sell,False,dry_run,dry_run,,,True,0.7167559827,0.7835974450499481,0.7,0.65,stop_loss,stop_loss,-0.15960000000000218,-0.1643684480000022,23.84224,0.7835974450499481,12.773199871930855,0.03377996071464304,23.68264,2980.28,2960.33,-0.1643684480000022,143.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-30 14:30:09.091198+00:00,2025-12-30 13:00:00+00:00,2025-12-30 14:30:09.091198+00:00,sell,True,dry_run,dry_run,,,True,0.7167559827,0.607819293923519,0.64,0.59,time_limit,time_exit,0.010995999999999185,0.007475365599999185,17.603172,0.607819293923519,0.001135449536031274,0.001135449536031274,17.614168,88015.86,88070.84,0.007475365599999185,90.15151996666667
