symbol,model,policy_id,timeframe,occurred_at,entry_ts,exit_ts,side,gate_pass,decision,skip_reason,risk_block_reason,risk_clip_reasons,executed,entry_prob,exit_prob,entry_threshold,exit_threshold,exit_reason_primary,exit_reason_all,pnl_gross,pnl_net,pnl_notional,probability,spread_entry_bps,spread_exit_bps,intended_notional,entry_price,exit_price,pnl,hold_minutes
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 02:51:00+00:00,2025-12-29 02:48:00+00:00,2025-12-29 02:51:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.6076040863990784,0.51,0.47,gate_close,gate_close,-0.010499999999998977,-0.014370899999998977,19.354499999999998,0.6076040863990784,10.064256406285939,0.7754041794278218,19.344,129.03,128.96,-0.014370899999998977,3.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 03:03:00+00:00,2025-12-29 02:48:00+00:00,2025-12-29 03:03:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.41829004883766174,0.56,0.5,prob_floor,prob_floor,-0.017162000000002446,-0.020730838400002446,26.766288,0.41829004883766174,9.775809376542192,0.0011218918068087978,17.82703,89220.96,89135.15,-0.020730838400002446,15.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 03:09:00+00:00,,2025-12-29 03:09:00+00:00,buy,True,dry_run,dry_run,,exchange_qty_step,True,0.5878524780273438,0.5878524780273438,,0.51,dry_run,,,,,0.5878524780273438,0.7753440589254434,,19.346999999999998,,128.98,0.0,
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 03:11:00+00:00,2025-12-29 03:09:00+00:00,2025-12-29 03:11:00+00:00,sell,False,min_hold,min_hold,,,False,0.587852478,0.5878524780273438,0.51,0.47,gate_close,gate_close,0.012000000000001875,0.006631587874330129,19.346999999999998,0.5878524780273438,17.801857585138528,0.7748033936381595,,128.98,129.06,0.006631587874330129,2.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 03:12:00+00:00,2025-12-29 03:09:00+00:00,2025-12-29 03:12:00+00:00,sell,False,dry_run,dry_run,,,True,0.587852478,0.565682053565979,0.51,0.47,gate_close,gate_close,0.036000000000001364,0.03213060000000136,19.346999999999998,0.565682053565979,13.16910682469498,0.7738440704191066,19.383,128.98,129.22,0.03213060000000136,3.0
ETH/USDT,xgb_primary,primary,1m,2025-12-29 03:13:00+00:00,2025-12-29 02:48:00+00:00,2025-12-29 03:13:00+00:00,sell,True,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.6076040863990784,0.51,0.47,take_profit,take_profit,0.08990999999999803,0.08450315999999804,27.0342,0.6076040863990784,0.03318075715242171,0.03318075715242171,27.12411,3003.8,3013.79,0.08450315999999804,25.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 03:14:00+00:00,,2025-12-29 03:14:00+00:00,buy,True,dry_run,dry_run,,exchange_qty_step,True,0.6076040863990784,0.6076040863990784,,0.51,dry_run,,,,,0.6076040863990784,0.7749234763082123,,19.3575,,129.05,0.0,
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 03:14:00+00:00,,2025-12-29 03:14:00+00:00,buy,True,dry_run,dry_run,,exchange_qty_step,True,0.6076040863990784,0.6076040863990784,,0.56,dry_run,,,,,0.6076040863990784,0.001117796214992376,,26.838525000000004,,89461.75,0.0,
ETH/USDT,xgb_primary,primary,1m,2025-12-29 03:15:00+00:00,,2025-12-29 03:15:00+00:00,buy,True,dry_run,dry_run,,exchange_qty_step,True,0.6076040863990784,0.6076040863990784,,0.51,dry_run,,,,,0.6076040863990784,0.03320631916326146,,27.103320000000004,,3011.48,0.0,
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 03:21:00+00:00,2025-12-29 03:14:00+00:00,2025-12-29 03:21:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.6076040864,0.5878524780273438,0.56,0.5,gate_close,gate_close,-0.01090799999999872,-0.014486469999998721,26.838524999999997,0.5878524780273438,8.578399029862178,0.0011184779656497868,17.881442000000003,89461.75,89407.21,-0.014486469999998721,7.0
