symbol,model,policy_id,timeframe,occurred_at,entry_ts,exit_ts,side,gate_pass,decision,skip_reason,risk_block_reason,risk_clip_reasons,executed,entry_prob,exit_prob,entry_threshold,exit_threshold,exit_reason_primary,exit_reason_all,pnl_gross,pnl_net,pnl_notional,probability,spread_entry_bps,spread_exit_bps,intended_notional,entry_price,exit_price,pnl,hold_minutes
ETH/USDT,xgb_primary,primary,1m,2025-12-29 18:09:00+00:00,2025-12-29 17:56:00+00:00,2025-12-29 18:09:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.41829004883766174,0.51,0.47,prob_floor,"prob_floor,trailing_prob_drop",-0.048400000000001456,-0.054282420000001455,29.412100000000002,0.41829004883766174,0.03405559576082169,0.03405559576082169,29.363699999999998,2941.21,2936.37,-0.054282420000001455,13.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 18:09:00+00:00,2025-12-29 18:00:00+00:00,2025-12-29 18:09:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.41829004883766174,0.51,0.47,prob_floor,"prob_floor,trailing_prob_drop",-0.043199999999999364,-0.047161919999999365,19.8096,0.41829004883766174,1.6172070833678525,0.8094216682173221,19.7664,123.81,123.54,-0.047161919999999365,9.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 18:09:00+00:00,2025-12-29 18:01:00+00:00,2025-12-29 18:09:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.6076040864,0.41829004883766174,0.56,0.5,prob_floor,"prob_floor,trailing_prob_drop",-0.04835599999999977,-0.051873067999999765,26.378009999999996,0.41829004883766174,9.699846119936252,0.0011404468892185643,17.536984,87926.7,87684.92,-0.051873067999999765,8.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 18:27:00+00:00,2025-12-29 18:24:00+00:00,2025-12-29 18:27:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.4742901027202606,0.56,0.5,prob_floor,prob_floor,-0.006433999999999651,-0.009943181999999651,26.318865,0.4742901027202606,2.9663218726000187,0.0011402848551027272,17.539476,87729.55,87697.38,-0.009943181999999651,3.0
ETH/USDT,xgb_primary,primary,1m,2025-12-29 18:29:00+00:00,2025-12-29 18:22:00+00:00,2025-12-29 18:29:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,-0.06090000000000146,-0.06678292000000147,29.4146,0.41829004883766174,0.03406719754790539,0.03406719754790539,29.3537,2941.46,2935.37,-0.06678292000000147,7.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 18:31:00+00:00,2025-12-29 18:22:00+00:00,2025-12-29 18:31:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,-0.03680000000000064,-0.04076288000000064,19.814400000000003,0.41829004883766174,4.047272138578368,0.808963313514146,19.7776,123.84,123.61,-0.04076288000000064,9.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 19:16:00+00:00,2025-12-29 19:08:00+00:00,2025-12-29 19:16:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.6076040863990784,0.51,0.47,gate_close,gate_close,-0.019199999999998454,-0.023149119999998455,19.7456,0.6076040863990784,7.298678128294818,0.8110628979269966,19.7264,123.41,123.29,-0.023149119999998455,8.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 19:24:00+00:00,2025-12-29 19:10:00+00:00,2025-12-29 19:24:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.41829004883766174,0.56,0.5,prob_floor,"prob_floor,trailing_prob_drop",-0.01842899999999936,-0.020182045799999358,8.765229,0.41829004883766174,1.7624337587229106,0.0011432751889975438,8.7468,87652.29,87468.0,-0.020182045799999358,14.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 19:25:00+00:00,2025-12-29 19:22:00+00:00,2025-12-29 19:25:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,-0.004800000000000182,-0.0067720000000001815,9.86,0.41829004883766174,0.8117212549214754,0.8117212549214754,9.8552,123.25,123.19,-0.0067720000000001815,3.0
ETH/USDT,xgb_primary,primary,1m,2025-12-29 19:31:00+00:00,2025-12-29 19:08:00+00:00,2025-12-29 19:31:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.565682053565979,0.51,0.47,gate_close,gate_close,0.06779999999999746,0.06193647999999746,29.317600000000002,0.565682053565979,7.4867110878185015,0.03403044704171036,29.3854,2931.76,2938.54,0.06193647999999746,23.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 19:36:00+00:00,2025-12-29 19:33:00+00:00,2025-12-29 19:36:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.41829004883766174,0.56,0.5,prob_floor,prob_floor,-0.013152999999999884,-0.014903399999999883,8.752,0.41829004883766174,6.755291979049204,0.001144315654296669,8.738847,87520.0,87388.47,-0.014903399999999883,3.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 19:36:00+00:00,2025-12-29 19:33:00+00:00,2025-12-29 19:36:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,-0.011200000000000045,-0.013171200000000044,9.856,0.41829004883766174,0.8126117341127015,0.8125787185626218,9.844800000000001,123.2,123.06,-0.013171200000000044,3.0
ETH/USDT,xgb_primary,primary,1m,2025-12-29 19:37:00+00:00,2025-12-29 19:33:00+00:00,2025-12-29 19:37:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.41829004883766174,0.51,0.47,prob_floor,"prob_floor,trailing_prob_drop",-0.05670000000000073,-0.06257666000000073,29.3833,0.41829004883766174,0.034098678165485244,0.034098678165485244,29.3266,2938.33,2932.66,-0.06257666000000073,4.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 21:21:00+00:00,2025-12-29 21:03:00+00:00,2025-12-29 21:21:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.4742901027202606,0.56,0.5,prob_floor,prob_floor,-0.0035010000000009313,-0.005246637000000932,8.728185000000002,0.4742901027202606,5.653871240243979,0.0011461732523752838,8.724684,87281.85,87246.84,-0.005246637000000932,18.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 21:24:00+00:00,2025-12-29 21:03:00+00:00,2025-12-29 21:24:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.41829004883766174,0.51,0.47,prob_floor,"prob_floor,trailing_prob_drop",-0.0008000000000004093,-0.0027716800000004097,9.858400000000001,0.41829004883766174,0.8115236356263028,0.8115236356263028,9.8576,123.23,123.22,-0.0027716800000004097,21.0
ETH/USDT,xgb_primary,primary,1m,2025-12-29 21:30:00+00:00,2025-12-29 21:03:00+00:00,2025-12-29 21:30:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,0.010799999999999272,0.004936579999999272,29.3171,0.41829004883766174,0.034097166696677665,0.034097166696677665,29.3279,2931.71,2932.79,0.004936579999999272,27.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 22:00:00+00:00,2025-12-29 21:38:00+00:00,2025-12-29 22:00:00+00:00,sell,False,dry_run,dry_run,,,True,0.587852478,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,-0.015199999999999818,-0.01717503999999982,9.8752,0.41829004883766174,17.028867985728834,0.8113261125313469,9.86,123.44,123.25,-0.01717503999999982,22.0
ETH/USDT,xgb_primary,primary,1m,2025-12-29 22:01:00+00:00,2025-12-29 21:37:00+00:00,2025-12-29 22:01:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,-0.022899999999999636,-0.028772259999999637,29.3613,0.41829004883766174,0.03408496358793164,0.03408496358793164,29.338400000000004,2936.13,2933.84,-0.028772259999999637,24.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 22:01:00+00:00,2025-12-29 21:37:00+00:00,2025-12-29 22:01:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.4742901027202606,0.56,0.5,prob_floor,prob_floor,-0.001490999999998894,-0.0032370235999988938,8.730118,0.4742901027202606,1.8341945417068184,0.001145655487619481,8.728627000000001,87301.18,87286.27,-0.0032370235999988938,24.0
ETH/USDT,xgb_primary,primary,1m,2025-12-29 22:33:00+00:00,2025-12-29 22:17:00+00:00,2025-12-29 22:33:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.5878524780273438,0.51,0.47,gate_close,gate_close,0.05059999999999946,0.044729819999999455,29.350900000000003,0.5878524780273438,3.1295816905866696,0.03401181230160836,29.401500000000002,2935.09,2940.15,0.044729819999999455,16.0
